TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BOS,BOS vs. TOR,04/20/1997,L,240,94,33,76,43.4,8,19,42.1,20,29,69.0,10,35,45,21,3,0,24,22,-31
TOR,TOR @ BOS,04/20/1997,W,240,125,49,92,53.3,8,22,36.4,19,25,76.0,8,26,34,25,15,5,5,20,31
CLE,CLE vs. WAS,04/20/1997,L,240,81,34,76,44.7,1,9,11.1,12,18,66.7,12,24,36,22,8,6,10,20,-4
WAS,WAS @ CLE,04/20/1997,W,240,85,33,75,44.0,3,12,25.0,16,24,66.7,17,29,46,18,3,5,12,22,4
MIL,MIL vs. CHH,04/20/1997,W,240,120,52,86,60.5,3,7,42.9,13,20,65.0,12,32,44,30,10,4,15,20,20
CHH,CHH @ MIL,04/20/1997,L,240,100,37,80,46.3,5,14,35.7,21,26,80.8,8,23,31,19,8,2,16,17,-20
POR,POR vs. LAL,04/20/1997,W,240,100,35,68,51.5,5,12,41.7,25,34,73.5,11,29,40,18,7,2,19,20,4
LAL,LAL @ POR,04/20/1997,L,240,96,38,82,46.3,3,10,30.0,17,24,70.8,11,24,35,19,14,6,12,22,-4
SAC,SAC vs. UTA,04/20/1997,L,240,109,32,60,53.3,6,11,54.5,39,57,68.4,10,21,31,21,3,4,13,23,-4
UTA,UTA @ SAC,04/20/1997,W,240,113,43,76,56.6,2,7,28.6,25,29,86.2,9,23,32,29,9,1,9,37,4
SAS,SAS vs. HOU,04/20/1997,L,240,99,39,86,45.3,1,16,6.3,20,29,69.0,16,30,46,21,5,5,8,21,-4
HOU,HOU @ SAS,04/20/1997,W,240,103,36,85,42.4,7,25,28.0,24,27,88.9,15,32,47,20,3,5,14,21,4
ATL,ATL @ NJN,04/20/1997,L,240,92,37,94,39.4,8,33,24.2,10,16,62.5,18,27,45,20,11,4,13,15,-16
NJN,NJN vs. ATL,04/20/1997,W,240,108,42,91,46.2,7,14,50.0,17,23,73.9,18,39,57,31,8,3,14,13,16
IND,IND vs. DET,04/20/1997,L,265,120,44,100,44.0,8,19,42.1,24,29,82.8,24,31,55,27,7,3,14,30,-4
DET,DET @ IND,04/20/1997,W,265,124,42,80,52.5,10,16,62.5,30,39,76.9,8,29,37,19,6,4,12,25,4
SAC,SAC @ GSW,04/19/1997,W,265,122,46,85,54.1,8,18,44.4,22,30,73.3,10,33,43,30,9,6,11,19,2
GSW,GSW vs. SAC,04/19/1997,L,265,120,50,107,46.7,6,17,35.3,14,20,70.0,24,29,53,26,7,3,14,22,-2
PHI,PHI @ ATL,04/19/1997,L,240,104,42,98,42.9,9,19,47.4,11,20,55.0,21,20,41,22,10,2,17,14,-32
ATL,ATL vs. PHI,04/19/1997,W,240,136,56,86,65.1,13,20,65.0,11,17,64.7,10,34,44,39,10,8,20,19,32
ORL,ORL vs. MIA,04/19/1997,L,240,88,33,82,40.2,3,16,18.8,19,21,90.5,16,22,38,21,9,9,19,18,-14
MIA,MIA @ ORL,04/19/1997,W,240,102,36,77,46.8,10,21,47.6,20,22,90.9,16,25,41,23,10,7,22,23,14
SEA,SEA vs. LAC,04/19/1997,W,240,125,46,82,56.1,6,15,40.0,27,38,71.1,14,28,42,29,9,6,13,21,25
LAC,LAC @ SEA,04/19/1997,L,240,100,36,87,41.4,7,21,33.3,21,30,70.0,19,20,39,22,5,8,16,27,-25
PHX,PHX vs. VAN,04/19/1997,L,240,107,43,93,46.2,9,27,33.3,12,22,54.5,12,22,34,28,9,5,7,14,-14
VAN,VAN @ PHX,04/19/1997,W,240,121,50,84,59.5,10,13,76.9,11,18,61.1,11,33,44,40,4,8,15,20,14
CHI,CHI vs. NYK,04/19/1997,L,240,101,40,75,53.3,4,11,36.4,17,24,70.8,5,29,34,31,9,7,15,22,-2
NYK,NYK @ CHI,04/19/1997,W,240,103,37,79,46.8,7,18,38.9,22,27,81.5,9,33,42,24,7,0,17,25,2
UTA,UTA vs. MIN,04/19/1997,W,240,101,36,77,46.8,4,15,26.7,25,34,73.5,11,30,41,28,16,11,15,17,12
MIN,MIN @ UTA,04/19/1997,L,240,89,33,75,44.0,10,23,43.5,13,17,76.5,9,30,39,22,9,5,23,29,-12
DEN,DEN @ DAL,04/19/1997,W,240,100,38,85,44.7,6,18,33.3,18,21,85.7,9,43,52,25,6,5,16,16,5
DAL,DAL vs. DEN,04/19/1997,L,240,95,40,93,43.0,3,10,30.0,12,19,63.2,14,34,48,19,8,5,10,20,-5
ORL,ORL @ WAS,04/18/1997,L,240,93,30,80,37.5,9,25,36.0,24,28,85.7,11,31,42,17,6,3,15,27,-11
WAS,WAS vs. ORL,04/18/1997,W,240,104,35,81,43.2,2,8,25.0,32,41,78.0,16,35,51,18,10,1,10,20,11
LAL,LAL @ LAC,04/18/1997,W,240,123,43,72,59.7,9,15,60.0,28,37,75.7,8,33,41,24,13,4,17,23,28
LAC,LAC vs. LAL,04/18/1997,L,240,95,36,76,47.4,8,18,44.4,15,26,57.7,11,25,36,23,8,8,20,29,-28
TOR,TOR @ CHH,04/18/1997,W,240,108,41,83,49.4,6,20,30.0,20,22,90.9,14,25,39,19,11,3,17,22,8
CHH,CHH vs. TOR,04/18/1997,L,240,100,35,79,44.3,13,23,56.5,17,22,77.3,13,24,37,27,9,6,21,20,-8
DET,DET vs. CLE,04/18/1997,L,240,75,25,59,42.4,3,10,30.0,22,25,88.0,8,26,34,14,8,1,20,21,-7
CLE,CLE @ DET,04/18/1997,W,240,82,30,69,43.5,6,20,30.0,16,22,72.7,10,22,32,16,9,1,17,22,7
MIN,MIN vs. MIL,04/18/1997,W,240,122,48,82,58.5,8,14,57.1,18,26,69.2,8,20,28,36,7,4,13,24,10
MIL,MIL @ MIN,04/18/1997,L,240,112,38,73,52.1,5,13,38.5,31,39,79.5,9,26,35,21,10,6,15,23,-10
IND,IND @ NYK,04/18/1997,L,240,89,28,70,40.0,1,4,25.0,32,43,74.4,11,27,38,22,10,6,15,24,-8
NYK,NYK vs. IND,04/18/1997,W,240,97,37,81,45.7,5,11,45.5,18,24,75.0,14,33,47,31,8,4,17,32,8
NJN,NJN @ MIA,04/18/1997,W,240,86,34,74,45.9,6,14,42.9,12,22,54.5,14,38,52,23,3,8,12,17,12
MIA,MIA vs. NJN,04/18/1997,L,240,74,28,80,35.0,7,26,26.9,11,13,84.6,12,27,39,22,4,8,8,16,-12
PHI,PHI vs. BOS,04/18/1997,L,240,113,41,90,45.6,8,21,38.1,23,32,71.9,14,30,44,30,7,10,15,23,-6
BOS,BOS @ PHI,04/18/1997,W,240,119,47,98,48.0,5,16,31.3,20,30,66.7,19,29,48,35,13,7,15,23,6
DAL,DAL @ HOU,04/18/1997,L,265,102,43,99,43.4,7,24,29.2,9,15,60.0,18,27,45,24,15,2,14,19,-10
HOU,HOU vs. DAL,04/18/1997,W,265,112,42,87,48.3,13,33,39.4,15,21,71.4,13,35,48,25,9,3,19,16,10
SAS,SAS vs. PHX,04/18/1997,L,240,95,40,97,41.2,6,17,35.3,9,10,90.0,20,31,51,18,8,2,12,18,-11
PHX,PHX @ SAS,04/18/1997,W,240,106,42,83,50.6,8,18,44.4,14,21,66.7,7,31,38,36,6,6,8,7,11
POR,POR @ VAN,04/17/1997,W,240,105,39,72,54.2,4,13,30.8,23,34,67.6,12,32,44,25,11,4,11,21,32
VAN,VAN vs. POR,04/17/1997,L,240,73,22,67,32.8,10,26,38.5,19,28,67.9,10,24,34,17,5,9,17,26,-32
SAC,SAC @ LAL,04/17/1997,L,240,99,39,89,43.8,3,8,37.5,18,23,78.3,17,21,38,25,11,4,16,20,-9
LAL,LAL vs. SAC,04/17/1997,W,240,108,39,76,51.3,5,14,35.7,25,30,83.3,10,28,38,29,12,9,18,16,9
GSW,GSW @ UTA,04/17/1997,L,240,93,34,84,40.5,4,15,26.7,21,26,80.8,21,23,44,18,13,5,20,19,-13
UTA,UTA vs. GSW,04/17/1997,W,240,106,40,71,56.3,9,15,60.0,17,21,81.0,7,24,31,26,14,9,24,20,13
DEN,DEN vs. SEA,04/17/1997,L,240,104,41,79,51.9,9,22,40.9,13,20,65.0,12,26,38,21,4,2,15,17,-4
SEA,SEA @ DEN,04/17/1997,W,240,108,38,79,48.1,9,19,47.4,23,27,85.2,14,25,39,18,8,2,13,16,4
WAS,WAS vs. IND,04/16/1997,W,240,103,35,75,46.7,2,12,16.7,31,36,86.1,6,30,36,22,9,2,9,23,13
IND,IND @ WAS,04/16/1997,L,240,90,36,83,43.4,4,13,30.8,14,24,58.3,13,30,43,17,6,0,14,28,-13
BOS,BOS vs. CHH,04/16/1997,L,240,102,42,90,46.7,6,20,30.0,12,20,60.0,19,27,46,30,10,3,15,20,-6
CHH,CHH @ BOS,04/16/1997,W,240,108,42,81,51.9,5,16,31.3,19,26,73.1,11,31,42,31,10,6,16,18,6
CLE,CLE vs. ORL,04/16/1997,W,240,78,29,74,39.2,6,17,35.3,14,25,56.0,14,34,48,20,11,3,14,15,15
ORL,ORL @ CLE,04/16/1997,L,240,63,26,71,36.6,2,16,12.5,9,14,64.3,9,30,39,17,4,5,17,18,-15
DET,DET vs. MIL,04/16/1997,W,240,92,35,83,42.2,1,9,11.1,21,25,84.0,18,27,45,20,12,6,14,15,7
MIL,MIL @ DET,04/16/1997,L,240,85,31,70,44.3,8,13,61.5,15,21,71.4,6,24,30,15,7,4,16,25,-7
MIN,MIN vs. DAL,04/16/1997,L,240,77,30,76,39.5,2,16,12.5,15,20,75.0,12,25,37,19,5,6,12,17,-15
DAL,DAL @ MIN,04/16/1997,W,240,92,34,78,43.6,6,14,42.9,18,19,94.7,12,28,40,19,4,6,10,23,15
DEN,DEN @ POR,04/16/1997,L,240,63,21,74,28.4,6,21,28.6,15,20,75.0,6,30,36,15,10,2,23,19,-44
