TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHI,CHI vs. UTA,06/13/1997,W,240,90,31,81,38.3,5,14,35.7,23,30,76.7,15,35,50,15,7,4,13,28,4
UTA,UTA @ CHI,06/13/1997,L,240,86,26,65,40.0,7,15,46.7,27,39,69.2,5,31,36,14,8,6,11,25,-4
UTA,UTA vs. CHI,06/11/1997,L,240,88,31,75,41.3,8,19,42.1,18,25,72.0,13,32,45,21,4,5,11,25,-2
CHI,CHI @ UTA,06/11/1997,W,240,90,32,72,44.4,6,15,40.0,20,30,66.7,10,32,42,17,8,5,8,25,2
CHI,CHI @ UTA,06/08/1997,L,240,73,32,76,42.1,4,19,21.1,5,12,41.7,10,28,38,17,7,4,8,19,-5
UTA,UTA vs. CHI,06/08/1997,W,240,78,29,64,45.3,5,13,38.5,15,21,71.4,5,34,39,23,5,4,14,19,5
CHI,CHI @ UTA,06/06/1997,L,240,93,33,75,44.0,12,32,37.5,15,21,71.4,8,27,35,20,7,8,12,25,-11
UTA,UTA vs. CHI,06/06/1997,W,240,104,37,83,44.6,4,14,28.6,26,30,86.7,14,33,47,25,9,6,10,20,11
UTA,UTA @ CHI,06/04/1997,L,240,85,27,67,40.3,6,13,46.2,25,35,71.4,11,24,35,18,10,0,15,26,-12
CHI,CHI vs. UTA,06/04/1997,W,240,97,32,69,46.4,6,16,37.5,27,33,81.8,11,30,41,26,8,4,14,26,12
UTA,UTA @ CHI,06/01/1997,L,240,82,35,76,46.1,5,11,45.5,7,11,63.6,12,31,43,20,8,0,18,22,-2
CHI,CHI vs. UTA,06/01/1997,W,240,84,34,76,44.7,6,16,37.5,10,15,66.7,10,26,36,23,9,7,14,17,2
UTA,UTA @ HOU,05/29/1997,W,240,103,40,82,48.8,8,16,50.0,15,18,83.3,11,28,39,22,8,6,11,24,3
HOU,HOU vs. UTA,05/29/1997,L,240,100,36,72,50.0,8,23,34.8,20,23,87.0,8,27,35,27,6,9,15,18,-3
CHI,CHI vs. MIA,05/28/1997,W,240,100,39,84,46.4,5,14,35.7,17,24,70.8,22,31,53,26,8,11,12,27,13
MIA,MIA @ CHI,05/28/1997,L,240,87,26,72,36.1,10,30,33.3,25,28,89.3,13,23,36,13,3,5,14,25,-13
UTA,UTA vs. HOU,05/27/1997,W,240,96,34,69,49.3,3,13,23.1,25,28,89.3,9,26,35,17,10,4,16,23,5
HOU,HOU @ UTA,05/27/1997,L,240,91,30,67,44.8,7,24,29.2,24,31,77.4,9,23,32,16,10,3,14,24,-5
MIA,MIA vs. CHI,05/26/1997,W,240,87,33,76,43.4,10,27,37.0,11,17,64.7,13,29,42,16,6,1,16,20,7
CHI,CHI @ MIA,05/26/1997,L,240,80,30,85,35.3,4,27,14.8,16,20,80.0,20,25,45,17,7,6,12,17,-7
HOU,HOU vs. UTA,05/25/1997,W,240,95,33,72,45.8,6,19,31.6,23,28,82.1,9,34,43,20,7,6,12,22,3
UTA,UTA @ HOU,05/25/1997,L,240,92,35,83,42.2,2,8,25.0,20,25,80.0,12,28,40,25,9,3,8,23,-3
MIA,MIA vs. CHI,05/24/1997,L,240,74,21,55,38.2,4,17,23.5,28,39,71.8,10,29,39,14,7,2,32,28,-24
CHI,CHI @ MIA,05/24/1997,W,240,98,35,78,44.9,1,13,7.7,27,32,84.4,13,27,40,16,19,2,15,28,24
HOU,HOU vs. UTA,05/23/1997,W,240,118,44,75,58.7,12,25,48.0,18,22,81.8,10,28,38,28,8,6,15,22,18
