TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MIA,MIA @ DAL,06/20/2006,W,240,95,35,78,44.9,2,18,11.1,23,37,62.2,14,42,56,18,9,10,19,23,3
DAL,DAL vs. MIA,06/20/2006,L,240,92,34,92,37.0,5,22,22.7,19,23,82.6,16,34,50,16,12,7,13,28,-3
DAL,DAL @ MIA,06/18/2006,L,265,100,37,81,45.7,5,19,26.3,21,25,84.0,11,31,42,13,3,0,16,38,-1
MIA,MIA vs. DAL,06/18/2006,W,265,101,31,69,44.9,7,17,41.2,32,49,65.3,7,26,33,14,7,0,12,26,1
MIA,MIA vs. DAL,06/15/2006,W,240,98,34,66,51.5,7,19,36.8,23,36,63.9,6,42,48,19,7,7,18,26,24
DAL,DAL @ MIA,06/15/2006,L,240,74,25,79,31.6,3,22,13.6,21,27,77.8,11,25,36,10,6,3,14,24,-24
MIA,MIA vs. DAL,06/13/2006,W,240,98,37,76,48.7,4,14,28.6,20,34,58.8,16,33,49,13,9,2,20,23,2
DAL,DAL @ MIA,06/13/2006,L,240,96,36,75,48.0,6,16,37.5,18,26,69.2,7,27,34,15,9,2,16,29,-2
DAL,DAL vs. MIA,06/11/2006,W,240,99,34,70,48.6,8,19,42.1,23,28,82.1,9,37,46,23,5,5,19,27,14
MIA,MIA @ DAL,06/11/2006,L,240,85,29,70,41.4,7,17,41.2,20,32,62.5,8,24,32,16,5,3,13,23,-14
MIA,MIA @ DAL,06/08/2006,L,240,80,34,78,43.6,5,20,25.0,7,19,36.8,12,33,45,20,10,1,16,25,-10
DAL,DAL vs. MIA,06/08/2006,W,240,90,32,72,44.4,6,18,33.3,20,26,76.9,7,36,43,18,9,3,14,18,10
DAL,DAL @ PHX,06/03/2006,W,240,102,37,78,47.4,3,20,15.0,25,31,80.6,10,29,39,10,11,4,14,22,9
PHX,PHX vs. DAL,06/03/2006,L,240,93,36,72,50.0,6,17,35.3,15,20,75.0,5,31,36,18,5,2,18,27,-9
DET,DET @ MIA,06/02/2006,L,240,78,27,81,33.3,6,21,28.6,18,24,75.0,13,26,39,15,5,0,7,16,-17
MIA,MIA vs. DET,06/02/2006,W,240,95,39,70,55.7,6,16,37.5,11,17,64.7,6,42,48,22,3,9,12,20,17
PHX,PHX @ DAL,06/01/2006,L,240,101,36,79,45.6,10,24,41.7,19,20,95.0,6,29,35,21,3,4,13,25,-16
DAL,DAL vs. PHX,06/01/2006,W,240,117,42,89,47.2,9,17,52.9,24,28,85.7,16,33,49,24,5,5,9,23,16
MIA,MIA @ DET,05/31/2006,L,240,78,34,77,44.2,4,19,21.1,6,20,30.0,13,27,40,21,4,7,16,25,-13
DET,DET vs. MIA,05/31/2006,W,240,91,33,77,42.9,2,15,13.3,23,26,88.5,13,29,42,19,8,7,13,19,13
PHX,PHX vs. DAL,05/30/2006,W,240,106,43,79,54.4,7,15,46.7,13,21,61.9,9,28,37,21,5,8,7,23,20
