TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
LAL,LAL vs. CHI,06/12/1991,L,240,101,37,74,50.0,3,11,27.3,24,30,80.0,12,24,36,29,6,7,22,22,-7
CHI,CHI @ LAL,06/12/1991,W,240,108,42,78,53.8,2,3,66.7,22,28,78.6,10,27,37,28,14,6,18,23,7
CHI,CHI @ LAL,06/09/1991,W,240,97,42,80,52.5,1,3,33.3,12,14,85.7,9,29,38,27,4,8,5,22,15
LAL,LAL vs. CHI,06/09/1991,L,240,82,30,82,36.6,0,5,0.0,22,26,84.6,18,24,42,14,4,3,9,23,-15
CHI,CHI @ LAL,06/07/1991,W,265,104,41,85,48.2,1,3,33.3,21,24,87.5,16,30,46,23,10,5,16,21,8
LAL,LAL vs. CHI,06/07/1991,L,265,96,40,79,50.6,0,8,0.0,16,25,64.0,9,20,29,19,9,7,14,20,-8
CHI,CHI vs. LAL,06/05/1991,W,240,107,50,81,61.7,0,5,0.0,7,8,87.5,11,25,36,35,10,1,14,20,21
LAL,LAL @ CHI,06/05/1991,L,240,86,30,73,41.1,5,12,41.7,21,22,95.5,14,20,34,19,8,2,17,15,-21
CHI,CHI vs. LAL,06/02/1991,L,240,91,38,80,47.5,1,7,14.3,14,18,77.8,9,30,39,26,11,5,10,21,-2
LAL,LAL @ CHI,06/02/1991,W,240,93,30,66,45.5,5,10,50.0,28,34,82.4,6,31,37,15,7,3,13,16,2
POR,POR @ LAL,05/30/1991,L,240,90,38,75,50.7,3,6,50.0,11,19,57.9,9,25,34,16,9,7,14,23,-1
LAL,LAL vs. POR,05/30/1991,W,240,91,33,72,45.8,4,10,40.0,21,30,70.0,10,27,37,20,8,4,14,18,1
LAL,LAL @ POR,05/28/1991,L,240,84,29,70,41.4,6,15,40.0,20,23,87.0,9,24,33,17,3,5,17,22,-11
POR,POR vs. LAL,05/28/1991,W,240,95,36,89,40.4,2,10,20.0,21,31,67.7,26,26,52,20,12,2,10,20,11
DET,DET vs. CHI,05/27/1991,L,240,94,35,82,42.7,2,9,22.2,22,27,81.5,17,26,43,16,6,1,14,30,-21
CHI,CHI @ DET,05/27/1991,W,240,115,42,84,50.0,2,7,28.6,29,43,67.4,18,28,46,28,8,4,8,25,21
