TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SEA,SEA @ CHI,06/16/1996,L,240,75,31,73,42.5,5,24,20.8,8,10,80.0,12,23,35,19,10,3,20,20,-12
CHI,CHI vs. SEA,06/16/1996,W,240,87,31,78,39.7,9,25,36.0,16,20,80.0,24,27,51,20,14,4,19,15,12
SEA,SEA vs. CHI,06/14/1996,W,240,89,29,69,42.0,6,14,42.9,25,29,86.2,9,32,41,17,4,2,10,23,11
CHI,CHI @ SEA,06/14/1996,L,240,78,29,77,37.7,3,26,11.5,17,23,73.9,15,25,40,18,3,2,13,27,-11
SEA,SEA vs. CHI,06/12/1996,W,240,107,41,73,56.2,9,17,52.9,16,19,84.2,9,26,35,25,7,1,13,24,21
CHI,CHI @ SEA,06/12/1996,L,240,86,32,80,40.0,6,24,25.0,16,19,84.2,15,21,36,22,5,3,17,24,-21
SEA,SEA vs. CHI,06/09/1996,L,240,86,27,60,45.0,4,16,25.0,28,31,90.3,7,25,32,14,3,4,20,29,-22
CHI,CHI @ SEA,06/09/1996,W,240,108,38,76,50.0,7,15,46.7,25,34,73.5,10,23,33,28,9,2,9,29,22
SEA,SEA @ CHI,06/07/1996,L,240,88,31,75,41.3,3,15,20.0,23,29,79.3,16,23,39,10,6,4,16,30,-4
CHI,CHI vs. SEA,06/07/1996,W,240,92,30,77,39.0,4,21,19.0,28,42,66.7,20,25,45,22,10,5,15,27,4
SEA,SEA @ CHI,06/05/1996,L,240,90,27,68,39.7,5,16,31.3,31,36,86.1,14,27,41,16,6,2,17,29,-17
CHI,CHI vs. SEA,06/05/1996,W,240,107,37,86,43.0,7,26,26.9,26,31,83.9,17,23,40,20,9,9,7,27,17
SEA,SEA vs. UTH,06/02/1996,W,240,90,32,59,54.2,7,20,35.0,19,27,70.4,5,32,37,16,7,3,18,24,4
UTH,UTH @ SEA,06/02/1996,L,240,86,31,69,44.9,7,14,50.0,17,26,65.4,6,24,30,22,7,1,14,23,-4
SEA,SEA @ UTH,05/30/1996,L,240,83,27,66,40.9,5,18,27.8,24,32,75.0,10,25,35,19,8,4,23,25,-35
UTH,UTH vs. SEA,05/30/1996,W,240,118,44,73,60.3,6,15,40.0,24,30,80.0,7,30,37,35,15,7,11,25,35
UTH,UTH @ SEA,05/28/1996,W,265,98,33,76,43.4,6,13,46.2,26,40,65.0,10,26,36,17,7,3,10,25,3
SEA,SEA vs. UTH,05/28/1996,L,265,95,36,74,48.6,5,18,27.8,18,24,75.0,10,32,42,23,6,2,19,26,-3
ORL,ORL vs. CHI,05/27/1996,L,240,101,37,66,56.1,4,15,26.7,23,32,71.9,5,19,24,20,5,4,15,30,-5
CHI,CHI @ ORL,05/27/1996,W,240,106,36,70,51.4,9,22,40.9,25,37,67.6,14,17,31,23,12,4,16,29,5
UTH,UTH vs. SEA,05/26/1996,L,240,86,36,75,48.0,3,14,21.4,11,22,50.0,13,19,32,27,12,4,13,26,-2
SEA,SEA @ UTH,05/26/1996,W,240,88,26,53,49.1,5,15,33.3,31,36,86.1,7,30,37,17,7,4,22,26,2
CHI,CHI @ ORL,05/25/1996,W,240,86,30,69,43.5,8,16,50.0,18,31,58.1,15,30,45,15,9,7,18,23,19
ORL,ORL vs. CHI,05/25/1996,L,240,67,26,77,33.8,5,23,21.7,10,24,41.7,14,20,34,10,10,4,15,23,-19
UTH,UTH vs. SEA,05/24/1996,W,240,96,34,77,44.2,6,16,37.5,22,35,62.9,15,30,45,26,9,9,17,20,20
SEA,SEA @ UTH,05/24/1996,L,240,76,27,68,39.7,6,25,24.0,16,22,72.7,7,30,37,16,5,4,26,28,-20
CHI,CHI vs. ORL,05/21/1996,W,240,93,30,75,40.0,5,19,26.3,28,38,73.7,18,26,44,27,12,2,7,21,5
ORL,ORL @ CHI,05/21/1996,L,240,88,34,71,47.9,4,19,21.1,16,25,64.0,14,23,37,17,4,2,17,25,-5
UTH,UTH @ SEA,05/20/1996,L,240,87,30,75,40.0,3,12,25.0,24,30,80.0,11,23,34,21,5,5,13,26,-4
SEA,SEA vs. UTH,05/20/1996,W,240,91,30,59,50.8,6,15,40.0,25,33,75.8,2,26,28,18,9,6,16,28,4
ORL,ORL @ CHI,05/19/1996,L,240,83,35,73,47.9,5,16,31.3,8,24,33.3,6,22,28,17,8,1,16,12,-38
CHI,CHI vs. ORL,05/19/1996,W,240,121,53,96,55.2,7,19,36.8,8,12,66.7,20,42,62,37,12,2,13,22,38
SEA,SEA vs. UTH,05/18/1996,W,240,102,41,75,54.7,10,20,50.0,10,20,50.0,11,28,39,27,11,6,14,22,30
UTH,UTH @ SEA,05/18/1996,L,240,72,30,76,39.5,2,14,14.3,10,18,55.6,12,22,34,20,8,4,16,21,-30
SAN,SAN @ UTH,05/16/1996,L,240,81,27,70,38.6,8,20,40.0,19,28,67.9,12,23,35,13,8,5,12,27,-27
UTH,UTH vs. SAN,05/16/1996,W,240,108,41,79,51.9,7,13,53.8,19,25,76.0,15,32,47,29,3,7,10,26,27
ORL,ORL vs. ATL,05/15/1996,W,240,96,40,80,50.0,6,20,30.0,10,24,41.7,20,27,47,19,6,2,11,19,8
ATL,ATL @ ORL,05/15/1996,L,240,88,33,74,44.6,6,25,24.0,16,22,72.7,13,25,38,22,5,4,11,19,-8
SAN,SAN vs. UTH,05/14/1996,W,240,98,34,74,45.9,6,14,42.9,24,36,66.7,17,25,42,18,11,3,10,25,11
UTH,UTH @ SAN,05/14/1996,L,240,87,31,70,44.3,4,14,28.6,21,32,65.6,12,25,37,23,6,6,14,25,-11
NYK,NYK @ CHI,05/14/1996,L,240,81,30,67,44.8,2,13,15.4,19,30,63.3,6,30,36,15,7,3,19,23,-13
CHI,CHI vs. NYK,05/14/1996,W,240,94,34,78,43.6,5,11,45.5,21,25,84.0,13,30,43,23,9,2,12,28,13
ATL,ATL vs. ORL,05/13/1996,W,240,104,38,79,48.1,12,23,52.2,16,25,64.0,9,26,35,25,5,4,12,24,5
ORL,ORL @ ATL,05/13/1996,L,240,99,39,84,46.4,5,21,23.8,16,32,50.0,15,32,47,22,6,3,10,20,-5
ATL,ATL vs. ORL,05/12/1996,L,240,96,34,70,48.6,5,17,29.4,23,30,76.7,6,25,31,24,5,3,9,20,-7
ORL,ORL @ ATL,05/12/1996,W,240,103,39,76,51.3,8,18,44.4,17,30,56.7,14,25,39,20,5,3,11,25,7
CHI,CHI @ NYK,05/12/1996,W,240,94,33,81,40.7,6,20,30.0,22,29,75.9,23,23,46,22,7,6,15,28,3
NYK,NYK vs. CHI,05/12/1996,L,240,91,29,58,50.0,5,14,35.7,28,34,82.4,4,24,28,14,7,5,20,27,-3
UTH,UTH vs. SAN,05/12/1996,W,240,101,36,68,52.9,8,11,72.7,21,23,91.3,6,27,33,27,10,5,16,24,15
SAN,SAN @ UTH,05/12/1996,L,240,86,29,63,46.0,4,9,44.4,24,32,75.0,7,23,30,15,9,2,20,23,-15
HOU,HOU vs. SEA,05/12/1996,L,265,107,35,92,38.0,10,34,29.4,27,36,75.0,17,32,49,23,10,1,18,31,-7
SEA,SEA @ HOU,05/12/1996,W,265,114,42,87,48.3,5,23,21.7,25,39,64.1,12,38,50,26,12,11,15,30,7
NYK,NYK vs. CHI,05/11/1996,W,265,102,37,75,49.3,5,17,29.4,23,33,69.7,10,36,46,17,9,3,20,19,3
CHI,CHI @ NYK,05/11/1996,L,265,99,38,92,41.3,7,21,33.3,16,20,80.0,12,24,36,16,12,2,13,28,-3
UTH,UTH vs. SAN,05/11/1996,W,240,105,43,81,53.1,8,12,66.7,11,14,78.6,15,25,40,29,8,5,12,19,30
SAN,SAN @ UTH,05/11/1996,L,240,75,27,67,40.3,4,10,40.0,17,24,70.8,12,22,34,14,6,4,18,23,-30
ORL,ORL vs. ATL,05/10/1996,W,240,120,45,85,52.9,8,17,47.1,22,26,84.6,15,31,46,30,10,3,12,20,26
ATL,ATL @ ORL,05/10/1996,L,240,94,31,75,41.3,10,27,37.0,22,26,84.6,10,21,31,18,9,4,16,22,-26
SEA,SEA @ HOU,05/10/1996,W,240,115,41,78,52.6,6,13,46.2,27,34,79.4,12,26,38,28,10,4,14,22,3
HOU,HOU vs. SEA,05/10/1996,L,240,112,37,79,46.8,11,27,40.7,27,30,90.0,8,26,34,25,8,6,16,27,-3
SAN,SAN vs. UTH,05/09/1996,W,240,88,32,74,43.2,3,9,33.3,21,29,72.4,11,35,46,22,9,5,12,12,11
UTH,UTH @ SAN,05/09/1996,L,240,77,34,78,43.6,5,11,45.5,4,5,80.0,7,31,38,30,6,6,15,27,-11
ATL,ATL @ ORL,05/08/1996,L,240,105,38,78,48.7,4,15,26.7,25,33,75.8,14,22,36,23,11,3,13,23,-12
ORL,ORL vs. ATL,05/08/1996,W,240,117,48,83,57.8,5,16,31.3,16,26,61.5,15,24,39,26,9,3,13,23,12
SAN,SAN vs. UTH,05/07/1996,L,240,75,25,60,41.7,2,5,40.0,23,36,63.9,7,23,30,19,6,9,16,16,-20
UTH,UTH @ SAN,05/07/1996,W,240,95,40,88,45.5,7,14,50.0,8,10,80.0,18,27,45,31,7,5,14,30,20
CHI,CHI vs. NYK,05/07/1996,W,240,91,35,86,40.7,7,21,33.3,14,17,82.4,18,36,54,19,9,6,17,26,11
NYK,NYK @ CHI,05/07/1996,L,240,80,28,74,37.8,5,19,26.3,19,27,70.4,13,25,38,13,8,4,20,21,-11
HOU,HOU @ SEA,05/06/1996,L,240,101,36,81,44.4,13,27,48.1,16,22,72.7,10,28,38,28,8,5,12,20,-4
SEA,SEA vs. HOU,05/06/1996,W,240,105,37,70,52.9,20,27,74.1,11,16,68.8,4,34,38,25,4,4,16,20,4
NYK,NYK @ CHI,05/05/1996,L,240,84,32,79,40.5,4,15,26.7,16,20,80.0,12,28,40,14,4,0,17,21,-7
CHI,CHI vs. NYK,05/05/1996,W,240,91,33,87,37.9,3,19,15.8,22,24,91.7,18,30,48,21,8,4,8,23,7
IND,IND vs. ATL,05/05/1996,L,240,87,30,76,39.5,5,16,31.3,22,25,88.0,17,30,47,20,4,1,20,20,-2
ATL,ATL @ IND,05/05/1996,W,240,89,33,79,41.8,9,20,45.0,14,18,77.8,17,23,40,17,9,8,16,25,2
POR,POR @ UTH,05/05/1996,L,240,64,26,79,32.9,4,11,36.4,8,11,72.7,8,25,33,14,8,3,13,27,-38
UTH,UTH vs. POR,05/05/1996,W,240,102,35,76,46.1,5,16,31.3,27,37,73.0,14,40,54,23,8,12,11,18,38
HOU,HOU @ SEA,05/04/1996,L,240,75,30,83,36.1,9,30,30.0,6,13,46.2,11,25,36,23,11,2,16,13,-33
SEA,SEA vs. HOU,05/04/1996,W,240,108,44,85,51.8,10,26,38.5,10,11,90.9,10,42,52,28,15,4,16,15,33
PHX,PHX vs. SAN,05/03/1996,L,240,98,39,86,45.3,4,13,30.8,16,22,72.7,10,20,30,26,7,5,7,19,-18
SAN,SAN @ PHX,05/03/1996,W,240,116,47,82,57.3,10,16,62.5,12,19,63.2,15,32,47,30,4,6,12,21,18
LAL,LAL @ HOU,05/02/1996,L,240,94,33,77,42.9,8,21,38.1,20,25,80.0,10,27,37,24,11,4,18,20,-8
HOU,HOU vs. LAL,05/02/1996,W,240,102,39,75,52.0,7,18,38.9,17,21,81.0,6,28,34,29,12,4,18,21,8
IND,IND @ ATL,05/02/1996,W,240,83,32,69,46.4,3,10,30.0,16,25,64.0,11,34,45,14,10,3,17,25,8
ATL,ATL vs. IND,05/02/1996,L,240,75,27,77,35.1,6,20,30.0,15,25,60.0,17,26,43,11,9,7,17,22,-8
SAC,SAC vs. SEA,05/02/1996,L,240,87,30,74,40.5,3,12,25.0,24,31,77.4,8,29,37,15,11,7,19,22,-14
SEA,SEA @ SAC,05/02/1996,W,240,101,37,82,45.1,9,23,39.1,18,27,66.7,12,33,45,21,13,7,20,23,14
POR,POR vs. UTH,05/01/1996,W,240,98,32,66,48.5,8,17,47.1,26,35,74.3,11,32,43,18,5,5,19,24,8
UTH,UTH @ POR,05/01/1996,L,240,90,29,77,37.7,7,15,46.7,25,33,75.8,14,20,34,21,14,2,9,28,-8
CHI,CHI @ MIA,05/01/1996,W,240,112,40,80,50.0,8,20,40.0,24,29,82.8,17,31,48,27,8,3,12,17,21
MIA,MIA vs. CHI,05/01/1996,L,240,91,35,84,41.7,7,27,25.9,14,16,87.5,15,23,38,22,7,2,14,22,-21
PHX,PHX vs. SAN,05/01/1996,W,240,94,36,86,41.9,4,11,36.4,18,22,81.8,20,33,53,18,3,3,13,16,1
SAN,SAN @ PHX,05/01/1996,L,240,93,38,84,45.2,6,16,37.5,11,12,91.7,12,27,39,25,8,5,11,21,-1
