TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
WAS,WAS vs. PHL,04/23/1995,W,240,106,41,92,44.6,5,11,45.5,19,23,82.6,16,31,47,27,12,4,15,21,16
PHL,PHL @ WAS,04/23/1995,L,240,90,36,77,46.8,3,9,33.3,15,22,68.2,8,32,40,26,7,8,20,19,-16
CLE,CLE @ CHH,04/23/1995,L,240,72,29,77,37.7,3,16,18.8,11,14,78.6,12,24,36,17,8,0,10,23,-25
CHH,CHH vs. CLE,04/23/1995,W,240,97,35,63,55.6,7,12,58.3,20,27,74.1,7,31,38,26,2,5,14,20,25
SAN,SAN @ MIN,04/23/1995,W,240,97,40,84,47.6,4,9,44.4,13,18,72.2,11,24,35,31,10,2,13,21,6
MIN,MIN vs. SAN,04/23/1995,L,240,91,35,68,51.5,3,16,18.8,18,25,72.0,6,25,31,25,5,3,21,14,-6
DEN,DEN vs. SAC,04/23/1995,W,240,102,37,69,53.6,6,17,35.3,22,28,78.6,8,31,39,23,8,6,13,20,13
SAC,SAC @ DEN,04/23/1995,L,240,89,35,76,46.1,4,9,44.4,15,19,78.9,9,21,30,22,5,4,13,26,-13
CHI,CHI @ MIL,04/23/1995,L,240,100,41,95,43.2,7,14,50.0,11,20,55.0,20,29,49,27,11,5,16,25,-4
MIL,MIL vs. CHI,04/23/1995,W,240,104,37,78,47.4,6,17,35.3,24,33,72.7,10,31,41,22,11,3,16,19,4
IND,IND vs. ATL,04/23/1995,W,240,103,36,84,42.9,4,10,40.0,27,35,77.1,18,38,56,26,5,2,19,31,16
ATL,ATL @ IND,04/23/1995,L,240,87,27,74,36.5,6,26,23.1,27,42,64.3,13,30,43,18,11,7,19,32,-16
GOS,GOS @ POR,04/23/1995,L,240,83,28,76,36.8,5,14,35.7,22,32,68.8,12,26,38,15,7,1,25,18,-33
POR,POR vs. GOS,04/23/1995,W,240,116,47,90,52.2,6,14,42.9,16,21,76.2,12,39,51,32,10,5,16,27,33
MIA,MIA vs. DET,04/23/1995,W,240,129,43,89,48.3,8,24,33.3,35,43,81.4,20,42,62,18,1,2,12,19,24
DET,DET @ MIA,04/23/1995,L,240,105,40,92,43.5,9,25,36.0,16,25,64.0,10,26,36,20,6,4,8,31,-24
UTH,UTH @ HOU,04/23/1995,W,240,103,35,78,44.9,4,11,36.4,29,33,87.9,9,38,47,28,6,9,17,20,6
HOU,HOU vs. UTH,04/23/1995,L,240,97,35,87,40.2,10,31,32.3,17,23,73.9,9,30,39,15,5,3,11,26,-6
LAC,LAC vs. DAL,04/23/1995,W,240,124,52,98,53.1,7,11,63.6,13,20,65.0,15,45,60,31,9,8,19,17,22
DAL,DAL @ LAC,04/23/1995,L,240,102,37,106,34.9,6,26,23.1,22,27,81.5,21,29,50,15,9,6,14,19,-22
BOS,BOS @ NJN,04/23/1995,L,240,99,39,84,46.4,4,13,30.8,17,24,70.8,13,33,46,21,5,7,15,24,-3
NJN,NJN vs. BOS,04/23/1995,W,240,102,36,90,40.0,4,14,28.6,26,30,86.7,19,34,53,27,7,11,13,21,3
PHX,PHX vs. SEA,04/23/1995,W,240,105,40,90,44.4,13,33,39.4,12,16,75.0,15,35,50,24,2,3,12,21,5
SEA,SEA @ PHX,04/23/1995,L,240,100,36,85,42.4,5,18,27.8,23,33,69.7,16,36,52,24,7,6,12,19,-5
NYK,NYK vs. ORL,04/23/1995,W,240,113,38,85,44.7,12,23,52.2,25,30,83.3,13,34,47,28,6,6,12,20,14
ORL,ORL @ NYK,04/23/1995,L,240,99,39,81,48.1,7,17,41.2,14,24,58.3,9,29,38,24,9,3,15,23,-14
CHI,CHI vs. CHH,04/22/1995,W,240,116,50,87,57.5,8,14,57.1,8,12,66.7,11,37,48,32,9,6,18,15,16
CHH,CHH @ CHI,04/22/1995,L,240,100,40,94,42.6,5,25,20.0,15,18,83.3,16,25,41,19,11,2,14,14,-16
POR,POR @ LAL,04/22/1995,W,240,109,39,88,44.3,5,17,29.4,26,38,68.4,23,28,51,25,9,9,20,22,5
