TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
NYK,NYK vs. SAS,06/25/1999,L,240,77,32,72,44.4,1,9,11.1,12,16,75.0,4,31,35,18,8,1,12,23,-1
SAS,SAS @ NYK,06/25/1999,W,240,78,27,67,40.3,5,13,38.5,19,25,76.0,9,31,40,20,7,2,14,17,1
NYK,NYK vs. SAS,06/23/1999,L,240,89,33,80,41.3,2,10,20.0,21,28,75.0,10,24,34,15,6,2,11,25,-7
SAS,SAS @ NYK,06/23/1999,W,240,96,35,75,46.7,3,9,33.3,23,28,82.1,14,35,49,23,5,9,17,25,7
SAS,SAS @ NYK,06/21/1999,L,240,81,29,65,44.6,5,13,38.5,18,22,81.8,10,26,36,15,6,3,20,27,-8
NYK,NYK vs. SAS,06/21/1999,W,240,89,31,78,39.7,4,13,30.8,23,30,76.7,12,24,36,17,8,4,10,23,8
SAS,SAS vs. NYK,06/18/1999,W,240,80,27,63,42.9,2,12,16.7,24,35,68.6,5,36,41,18,5,9,12,13,13
NYK,NYK @ SAS,06/18/1999,L,240,67,27,82,32.9,2,14,14.3,11,12,91.7,10,33,43,8,11,4,10,25,-13
SAS,SAS vs. NYK,06/16/1999,W,240,89,32,67,47.8,6,15,40.0,19,31,61.3,4,33,37,25,9,6,14,18,12
NYK,NYK @ SAS,06/16/1999,L,240,77,31,81,38.3,2,8,25.0,13,19,68.4,13,30,43,12,7,6,15,27,-12
NYK,NYK vs. IND,06/11/1999,W,240,90,31,70,44.3,1,9,11.1,27,33,81.8,10,23,33,13,12,5,15,16,8
IND,IND @ NYK,06/11/1999,L,240,82,34,77,44.2,5,19,26.3,9,9,100.0,9,29,38,19,6,3,26,35,-8
NYK,NYK @ IND,06/09/1999,W,240,101,34,75,45.3,3,9,33.3,30,40,75.0,7,30,37,17,3,6,7,30,7
IND,IND vs. NYK,06/09/1999,L,240,94,33,79,41.8,6,14,42.9,22,31,71.0,11,32,43,12,1,4,11,31,-7
