TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SAS,SAS @ GSW,05/05/1999,W,240,88,30,73,41.1,2,9,22.2,26,31,83.9,10,36,46,19,7,3,10,14,7
GSW,GSW vs. SAS,05/05/1999,L,240,81,31,93,33.3,4,9,44.4,15,20,75.0,22,31,53,17,7,2,8,20,-7
CHH,CHH @ BOS,05/05/1999,W,290,133,49,100,49.0,4,10,40.0,31,37,83.8,13,42,55,30,2,5,13,22,4
BOS,BOS vs. CHH,05/05/1999,L,290,129,48,108,44.4,12,28,42.9,21,29,72.4,16,36,52,34,10,5,10,31,-4
LAC,LAC vs. SEA,05/05/1999,L,240,105,43,93,46.2,7,22,31.8,12,18,66.7,11,24,35,19,16,5,14,22,-2
SEA,SEA @ LAC,05/05/1999,W,240,107,43,79,54.4,5,12,41.7,16,28,57.1,14,37,51,23,9,2,24,15,2
TOR,TOR vs. CLE,05/05/1999,W,240,96,36,78,46.2,5,10,50.0,19,23,82.6,19,26,45,31,11,6,18,14,9
CLE,CLE @ TOR,05/05/1999,L,240,87,33,74,44.6,7,20,35.0,14,17,82.4,11,22,33,24,12,8,16,17,-9
WAS,WAS @ ATL,05/05/1999,L,240,92,33,78,42.3,6,18,33.3,20,29,69.0,13,24,37,13,5,4,14,18,-8
ATL,ATL vs. WAS,05/05/1999,W,240,100,40,96,41.7,3,16,18.8,17,20,85.0,24,28,52,23,7,2,15,22,8
PHX,PHX vs. MIN,05/05/1999,W,240,100,33,79,41.8,2,10,20.0,32,45,71.1,11,33,44,22,9,6,11,11,4
MIN,MIN @ PHX,05/05/1999,L,240,96,42,96,43.8,7,22,31.8,5,7,71.4,13,39,52,25,7,2,17,30,-4
SAC,SAC vs. VAN,05/05/1999,W,240,99,34,84,40.5,4,22,18.2,27,39,69.2,20,35,55,17,8,8,20,22,4
VAN,VAN @ SAC,05/05/1999,L,240,95,36,85,42.4,3,7,42.9,20,27,74.1,11,31,42,13,13,1,16,25,-4
ORL,ORL @ CHI,05/05/1999,W,240,103,40,79,50.6,5,9,55.6,18,23,78.3,11,33,44,30,12,4,19,15,20
CHI,CHI vs. ORL,05/05/1999,L,240,83,36,75,48.0,4,12,33.3,7,11,63.6,6,24,30,29,10,3,20,19,-20
PHI,PHI vs. DET,05/05/1999,W,265,105,41,98,41.8,3,9,33.3,20,23,87.0,20,28,48,24,11,1,16,27,5
DET,DET @ PHI,05/05/1999,L,265,100,36,76,47.4,3,11,27.3,25,31,80.6,10,27,37,24,7,3,20,27,-5
NYK,NYK vs. MIA,05/05/1999,W,240,101,45,83,54.2,0,4,0.0,11,19,57.9,15,21,36,25,13,2,14,22,13
MIA,MIA @ NYK,05/05/1999,L,240,88,34,64,53.1,3,12,25.0,17,18,94.4,7,21,28,20,5,2,24,19,-13
LAL,LAL vs. POR,05/05/1999,W,240,119,40,78,51.3,14,24,58.3,25,34,73.5,11,32,43,30,5,2,17,21,28
POR,POR @ LAL,05/05/1999,L,240,91,37,86,43.0,6,17,35.3,11,21,52.4,11,27,38,24,6,7,14,31,-28
DEN,DEN vs. HOU,05/05/1999,L,240,88,36,95,37.9,5,21,23.8,11,22,50.0,17,35,52,19,11,7,6,14,-7
HOU,HOU @ DEN,05/05/1999,W,240,95,40,90,44.4,10,19,52.6,5,10,50.0,11,39,50,27,5,11,12,16,7
MIL,MIL @ NJN,05/05/1999,L,240,107,45,81,55.6,3,13,23.1,14,17,82.4,7,28,35,17,10,1,14,27,-8
NJN,NJN vs. MIL,05/05/1999,W,240,115,39,77,50.6,11,20,55.0,26,34,76.5,12,27,39,22,8,2,15,18,8
CHH,CHH vs. PHI,05/04/1999,W,265,117,39,83,47.0,7,21,33.3,32,39,82.1,17,27,44,30,17,12,23,27,7
PHI,PHI @ CHH,05/04/1999,L,265,110,42,94,44.7,2,11,18.2,24,35,68.6,21,27,48,23,13,3,24,33,-7
MIL,MIL vs. TOR,05/04/1999,W,240,99,35,78,44.9,5,10,50.0,24,27,88.9,12,32,44,24,9,3,19,20,13
TOR,TOR @ MIL,05/04/1999,L,240,86,34,81,42.0,3,14,21.4,15,22,68.2,13,27,40,19,9,3,19,21,-13
DAL,DAL @ SEA,05/04/1999,L,240,100,36,88,40.9,8,18,44.4,20,29,69.0,9,28,37,21,10,4,11,32,-10
SEA,SEA vs. DAL,05/04/1999,W,240,110,38,72,52.8,5,17,29.4,29,39,74.4,5,42,47,19,3,5,18,22,10
SAS,SAS @ POR,05/04/1999,W,240,87,33,70,47.1,1,10,10.0,20,24,83.3,8,31,39,21,8,3,13,19,6
POR,POR vs. SAS,05/04/1999,L,240,81,33,77,42.9,6,13,46.2,9,14,64.3,11,28,39,26,8,5,16,20,-6
ATL,ATL @ MIA,05/04/1999,L,240,79,24,65,36.9,5,14,35.7,26,36,72.2,5,27,32,6,7,2,11,19,-14
MIA,MIA vs. ATL,05/04/1999,W,240,93,34,76,44.7,8,21,38.1,17,25,68.0,13,28,41,22,6,2,9,27,14
UTA,UTA vs. LAC,05/04/1999,W,240,99,40,64,62.5,0,3,0.0,19,23,82.6,7,36,43,32,5,9,17,21,17
