TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHH,CHH @ NYK,04/19/1996,W,240,115,41,75,54.7,9,20,45.0,24,26,92.3,6,29,35,18,5,0,12,21,7
SEA,SEA vs. MIN,04/19/1996,W,240,94,35,77,45.5,7,22,31.8,17,22,77.3,10,27,37,21,9,4,16,19,8
MIN,MIN @ SEA,04/19/1996,L,240,86,35,71,49.3,6,17,35.3,10,14,71.4,9,28,37,25,6,2,19,27,-8
PHL,PHL vs. ORL,04/19/1996,L,240,92,31,79,39.2,11,28,39.3,19,28,67.9,13,21,34,21,9,1,12,17,-20
ORL,ORL @ PHL,04/19/1996,W,240,112,44,78,56.4,7,13,53.8,17,22,77.3,11,33,44,35,8,3,15,21,20
NJN,NJN vs. BOS,04/19/1996,L,240,106,43,99,43.4,5,19,26.3,15,22,68.2,20,35,55,32,3,14,10,21,-6
BOS,BOS @ NJN,04/19/1996,W,240,112,40,83,48.2,12,18,66.7,20,28,71.4,9,34,43,20,3,10,10,18,6
WAS,WAS @ TOR,04/19/1996,L,240,103,39,86,45.3,7,19,36.8,18,30,60.0,13,27,40,30,10,5,14,26,-4
TOR,TOR vs. WAS,04/19/1996,W,240,107,37,75,49.3,6,13,46.2,27,34,79.4,9,34,43,22,11,7,19,26,4
CLE,CLE vs. NYK,04/18/1996,W,240,92,34,73,46.6,12,23,52.2,12,18,66.7,10,21,31,25,14,9,12,19,15
NYK,NYK @ CLE,04/18/1996,L,240,77,32,68,47.1,5,16,31.3,8,12,66.7,6,26,32,18,8,7,21,18,-15
DEN,DEN @ DAL,04/18/1996,L,240,98,35,93,37.6,2,10,20.0,26,34,76.5,20,31,51,17,12,5,22,21,-34
DAL,DAL vs. DEN,04/18/1996,W,240,132,51,90,56.7,11,21,52.4,19,25,76.0,9,40,49,30,11,7,19,27,34
MIL,MIL @ CHH,04/18/1996,W,240,111,43,74,58.1,6,11,54.5,19,24,79.2,7,27,34,29,6,3,14,19,8
CHH,CHH vs. MIL,04/18/1996,L,240,103,39,80,48.8,8,18,44.4,17,23,73.9,12,24,36,27,7,3,15,20,-8
HOU,HOU vs. LAC,04/18/1996,W,240,115,43,87,49.4,8,24,33.3,21,28,75.0,7,27,34,32,8,3,9,18,8
LAC,LAC @ HOU,04/18/1996,L,240,107,43,88,48.9,9,21,42.9,12,22,54.5,16,31,47,22,7,10,14,22,-8
UTH,UTH @ VAN,04/18/1996,W,240,94,40,82,48.8,3,6,50.0,11,16,68.8,15,30,45,21,10,7,15,15,15
VAN,VAN vs. UTH,04/18/1996,L,240,79,29,81,35.8,9,24,37.5,12,14,85.7,14,28,42,22,5,8,17,13,-15
SAN,SAN vs. LAL,04/18/1996,W,240,103,41,84,48.8,3,7,42.9,18,22,81.8,18,30,48,19,7,7,13,20,3
LAL,LAL @ SAN,04/18/1996,L,240,100,37,78,47.4,11,21,52.4,15,21,71.4,11,23,34,28,8,4,13,22,-3
CHI,CHI vs. DET,04/18/1996,W,240,110,43,87,49.4,11,23,47.8,13,17,76.5,13,40,53,28,12,3,18,19,31
DET,DET @ CHI,04/18/1996,L,240,79,33,83,39.8,3,10,30.0,10,20,50.0,11,25,36,12,12,2,17,21,-31
ATL,ATL @ ORL,04/18/1996,L,240,104,39,83,47.0,6,17,35.3,20,27,74.1,16,30,46,23,9,5,17,16,-15
ORL,ORL vs. ATL,04/18/1996,W,240,119,44,88,50.0,16,30,53.3,15,21,71.4,13,30,43,32,11,2,12,19,15
GOS,GOS @ MIN,04/17/1996,W,240,109,37,88,42.0,8,17,47.1,27,35,77.1,18,25,43,20,8,8,11,21,6
MIN,MIN vs. GOS,04/17/1996,L,240,103,40,83,48.2,4,13,30.8,19,26,73.1,14,31,45,26,8,10,19,27,-6
MIA,MIA @ PHL,04/17/1996,L,240,86,33,74,44.6,9,16,56.3,11,19,57.9,11,30,41,26,9,5,18,18,-4
PHL,PHL vs. MIA,04/17/1996,W,240,90,36,77,46.8,5,14,35.7,13,17,76.5,5,25,30,25,13,10,13,21,4
SEA,SEA vs. POR,04/17/1996,W,240,96,35,74,47.3,11,24,45.8,15,19,78.9,9,36,45,27,9,7,19,22,6
POR,POR @ SEA,04/17/1996,L,240,90,31,83,37.3,8,26,30.8,20,27,74.1,13,24,37,18,12,4,13,22,-6
PHX,PHX @ SAC,04/17/1996,L,240,102,42,79,53.2,4,12,33.3,14,20,70.0,6,35,41,23,6,2,16,28,-1
SAC,SAC vs. PHX,04/17/1996,W,240,103,35,86,40.7,6,23,26.1,27,39,69.2,19,29,48,26,8,4,12,21,1
NJN,NJN vs. TOR,04/17/1996,W,240,107,46,93,49.5,7,12,58.3,8,9,88.9,19,30,49,32,14,17,15,14,12
TOR,TOR @ NJN,04/17/1996,L,240,95,41,86,47.7,5,11,45.5,8,10,80.0,13,25,38,22,10,5,18,17,-12
WAS,WAS vs. BOS,04/17/1996,L,240,106,39,83,47.0,5,13,38.5,23,36,63.9,9,30,39,17,4,10,14,24,-15
BOS,BOS @ WAS,04/17/1996,W,240,121,48,89,53.9,9,18,50.0,16,18,88.9,5,40,45,20,6,5,13,29,15
DET,DET vs. IND,04/17/1996,W,240,102,35,67,52.2,12,22,54.5,20,28,71.4,6,27,33,26,3,2,13,26,9
IND,IND @ DET,04/17/1996,L,240,93,32,76,42.1,5,19,26.3,24,29,82.8,12,27,39,20,6,6,12,26,-9
VAN,VAN vs. SAN,04/16/1996,L,240,86,36,82,43.9,8,23,34.8,6,8,75.0,8,27,35,28,8,2,12,18,-9
SAN,SAN @ VAN,04/16/1996,W,240,95,40,78,51.3,6,16,37.5,9,9,100.0,3,34,37,26,7,2,11,14,9
