TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
NJN,NJN vs. LAL,06/12/2002,L,240,107,45,92,48.9,4,9,44.4,13,16,81.3,14,27,41,27,5,4,8,22,-6
LAL,LAL @ NJN,06/12/2002,W,240,113,37,71,52.1,11,19,57.9,28,37,75.7,7,32,39,28,7,3,10,15,6
NJN,NJN vs. LAL,06/09/2002,L,240,103,43,83,51.8,3,12,25.0,14,19,73.7,5,22,27,22,13,5,13,27,-3
LAL,LAL @ NJN,06/09/2002,W,240,106,37,68,54.4,8,16,50.0,24,35,68.6,7,33,40,17,7,10,19,22,3
LAL,LAL vs. NJN,06/07/2002,W,240,106,39,78,50.0,9,16,56.3,19,24,79.2,12,35,47,26,6,7,16,21,23
NJN,NJN @ LAL,06/07/2002,L,240,83,30,86,34.9,6,22,27.3,17,27,63.0,20,23,43,18,11,5,13,27,-23
NJN,NJN @ LAL,06/05/2002,L,240,94,37,94,39.4,5,16,31.3,15,26,57.7,21,24,45,19,9,4,11,29,-5
LAL,LAL vs. NJN,06/05/2002,W,240,99,33,72,45.8,1,10,10.0,32,45,71.1,17,33,50,21,8,8,16,20,5
SAC,SAC vs. LAL,06/02/2002,L,265,106,44,97,45.4,2,20,10.0,16,30,53.3,15,36,51,25,5,4,14,30,-6
LAL,LAL @ SAC,06/02/2002,W,265,112,39,94,41.5,7,17,41.2,27,33,81.8,15,37,52,24,5,4,13,25,6
BOS,BOS vs. NJN,05/31/2002,L,240,88,34,79,43.0,7,30,23.3,13,22,59.1,11,30,41,24,7,4,13,24,-8
NJN,NJN @ BOS,05/31/2002,W,240,96,36,76,47.4,3,10,30.0,21,30,70.0,10,33,43,25,8,5,11,19,8
SAC,SAC @ LAL,05/31/2002,L,240,102,38,92,41.3,8,19,42.1,18,25,72.0,14,30,44,23,9,3,11,31,-4
LAL,LAL vs. SAC,05/31/2002,W,240,106,34,74,45.9,4,15,26.7,34,40,85.0,6,39,45,20,3,6,14,24,4
BOS,BOS @ NJN,05/29/2002,L,240,92,29,81,35.8,10,32,31.3,24,27,88.9,16,34,50,19,7,7,17,29,-11
NJN,NJN vs. BOS,05/29/2002,W,240,103,36,79,45.6,6,17,35.3,25,37,67.6,13,32,45,21,11,2,14,23,11
SAC,SAC vs. LAL,05/28/2002,W,240,92,34,72,47.2,2,9,22.2,22,33,66.7,7,32,39,17,6,3,10,20,1
LAL,LAL @ SAC,05/28/2002,L,240,91,35,78,44.9,4,17,23.5,17,23,73.9,11,31,42,15,3,4,13,27,-1
BOS,BOS vs. NJN,05/27/2002,L,240,92,32,78,41.0,5,20,25.0,23,34,67.6,11,32,43,23,10,4,14,25,-2
NJN,NJN @ BOS,05/27/2002,W,240,94,32,78,41.0,10,21,47.6,20,29,69.0,11,32,43,21,4,7,15,21,2
SAC,SAC @ LAL,05/26/2002,L,240,99,38,78,48.7,5,19,26.3,18,26,69.2,8,34,42,21,6,4,12,23,-1
LAL,LAL vs. SAC,05/26/2002,W,240,100,38,97,39.2,6,26,23.1,18,27,66.7,25,31,56,17,7,8,11,24,1
NJN,NJN @ BOS,05/25/2002,L,240,90,38,86,44.2,3,20,15.0,11,18,61.1,13,37,50,26,8,2,22,34,-4
BOS,BOS vs. NJN,05/25/2002,W,240,94,29,78,37.2,3,16,18.8,33,39,84.6,12,35,47,15,12,5,17,21,4
SAC,SAC @ LAL,05/24/2002,W,240,103,38,77,49.4,6,16,37.5,21,35,60.0,10,36,46,25,10,7,19,19,13
LAL,LAL vs. SAC,05/24/2002,L,240,90,36,101,35.6,10,31,32.3,8,15,53.3,19,33,52,25,10,4,15,28,-13
NJN,NJN vs. BOS,05/21/2002,L,240,86,28,84,33.3,4,23,17.4,26,34,76.5,10,40,50,19,8,5,15,26,-7
BOS,BOS @ NJN,05/21/2002,W,240,93,32,93,34.4,6,23,26.1,23,36,63.9,18,42,60,14,8,9,11,26,7
SAC,SAC vs. LAL,05/20/2002,W,240,96,33,75,44.0,7,12,58.3,23,38,60.5,12,34,46,21,8,6,13,25,6
LAL,LAL @ SAC,05/20/2002,L,240,90,36,89,40.4,3,19,15.8,15,25,60.0,18,35,53,17,9,3,15,31,-6
BOS,BOS @ NJN,05/19/2002,L,240,97,34,83,41.0,10,29,34.5,19,29,65.5,10,28,38,18,13,6,10,25,-7
NJN,NJN vs. BOS,05/19/2002,W,240,104,38,77,49.4,3,14,21.4,25,28,89.3,9,40,49,23,3,7,16,21,7
LAL,LAL @ SAC,05/18/2002,W,240,106,42,86,48.8,6,20,30.0,16,22,72.7,11,30,41,20,9,8,18,20,7
SAC,SAC vs. LAL,05/18/2002,L,240,99,41,93,44.1,1,6,16.7,16,17,94.1,15,32,47,20,8,3,17,25,-7
CHH,CHH @ NJN,05/15/2002,L,240,95,31,78,39.7,5,15,33.3,28,42,66.7,16,30,46,17,6,3,16,36,-8
NJN,NJN vs. CHH,05/15/2002,W,240,103,33,77,42.9,6,15,40.0,31,39,79.5,10,33,43,23,8,5,13,31,8
BOS,BOS @ DET,05/14/2002,W,240,90,34,73,46.6,7,17,41.2,15,18,83.3,5,36,41,18,7,3,14,25,9
DET,DET vs. BOS,05/14/2002,L,240,81,29,81,35.8,8,27,29.6,15,21,71.4,10,30,40,21,4,7,11,20,-9
SAS,SAS @ LAL,05/14/2002,L,240,87,31,71,43.7,3,13,23.1,22,26,84.6,7,31,38,12,6,2,16,23,-6
LAL,LAL vs. SAS,05/14/2002,W,240,93,35,78,44.9,5,14,35.7,18,23,78.3,7,27,34,20,7,7,11,23,6
DAL,DAL @ SAC,05/13/2002,L,240,101,40,84,47.6,6,18,33.3,15,20,75.0,10,30,40,23,5,3,11,25,-13
SAC,SAC vs. DAL,05/13/2002,W,240,114,41,85,48.2,6,17,35.3,26,32,81.3,15,28,43,21,5,4,11,20,13
NJN,NJN @ CHH,05/12/2002,W,240,89,32,89,36.0,5,19,26.3,20,33,60.6,20,31,51,20,6,5,16,24,10
CHH,CHH vs. NJN,05/12/2002,L,240,79,27,73,37.0,4,21,19.0,21,33,63.6,7,33,40,19,12,13,14,27,-10
BOS,BOS vs. DET,05/12/2002,W,240,90,31,71,43.7,6,19,31.6,22,27,81.5,8,35,43,21,9,6,16,21,11
DET,DET @ BOS,05/12/2002,L,240,79,28,75,37.3,11,31,35.5,12,22,54.5,11,30,41,20,8,6,18,27,-11
SAS,SAS vs. LAL,05/12/2002,L,240,85,28,70,40.0,2,11,18.2,27,33,81.8,11,27,38,15,5,7,9,24,-2
LAL,LAL @ SAS,05/12/2002,W,240,87,33,79,41.8,6,16,37.5,15,24,62.5,16,32,48,13,3,4,12,25,2
SAC,SAC @ DAL,05/11/2002,W,265,115,40,84,47.6,4,15,26.7,31,40,77.5,15,39,54,19,11,6,19,24,2
DAL,DAL vs. SAC,05/11/2002,L,265,113,40,93,43.0,9,23,39.1,24,26,92.3,14,28,42,22,9,4,16,26,-2
BOS,BOS vs. DET,05/10/2002,W,240,66,27,78,34.6,2,19,10.5,10,12,83.3,10,32,42,13,11,4,18,22,2
DET,DET @ BOS,05/10/2002,L,240,64,24,69,34.8,2,20,10.0,14,21,66.7,8,34,42,13,9,2,20,17,-2
SAS,SAS vs. LAL,05/10/2002,L,240,89,32,79,40.5,4,17,23.5,21,27,77.8,12,22,34,14,4,7,9,25,-10
LAL,LAL @ SAS,05/10/2002,W,240,99,41,84,48.8,3,12,25.0,14,21,66.7,13,35,48,16,2,3,9,23,10
NJN,NJN @ CHH,05/09/2002,L,240,97,34,81,42.0,3,16,18.8,26,34,76.5,14,22,36,21,11,3,15,27,-18
CHH,CHH vs. NJN,05/09/2002,W,240,115,41,75,54.7,4,10,40.0,29,37,78.4,13,32,45,25,11,8,15,26,18
