TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MIA,MIA vs. DAL,06/12/2011,L,240,95,34,72,47.2,7,23,30.4,20,33,60.6,9,30,39,20,7,3,17,14,-10
DAL,DAL @ MIA,06/12/2011,W,240,105,41,82,50.0,11,26,42.3,12,18,66.7,10,30,40,19,11,1,14,24,10
DAL,DAL vs. MIA,06/09/2011,W,240,112,39,69,56.5,13,19,68.4,21,27,77.8,4,22,26,23,8,3,11,20,9
MIA,MIA @ DAL,06/09/2011,L,240,103,37,70,52.9,8,20,40.0,21,26,80.8,9,27,36,25,5,4,18,26,-9
DAL,DAL vs. MIA,06/07/2011,W,240,86,29,73,39.7,4,19,21.1,24,30,80.0,12,29,41,13,7,2,11,18,3
MIA,MIA @ DAL,06/07/2011,L,240,83,32,75,42.7,2,14,14.3,17,24,70.8,15,29,44,19,8,5,15,23,-3
MIA,MIA @ DAL,06/05/2011,W,240,88,34,78,43.6,8,19,42.1,12,15,80.0,9,27,36,20,8,5,13,27,2
DAL,DAL vs. MIA,06/05/2011,L,240,86,28,70,40.0,8,21,38.1,22,27,81.5,12,30,42,18,3,8,14,14,-2
MIA,MIA vs. DAL,06/02/2011,L,240,93,34,73,46.6,9,30,30.0,16,24,66.7,6,24,30,13,15,6,12,17,-2
DAL,DAL @ MIA,06/02/2011,W,240,95,36,75,48.0,6,17,35.3,17,21,81.0,11,30,41,18,8,2,20,20,2
DAL,DAL @ MIA,05/31/2011,L,240,84,25,67,37.3,9,22,40.9,25,32,78.1,6,30,36,18,6,8,11,22,-8
MIA,MIA vs. DAL,05/31/2011,W,240,92,31,80,38.8,11,24,45.8,19,26,73.1,16,30,46,20,5,4,12,21,8
CHI,CHI vs. MIA,05/26/2011,L,240,80,29,81,35.8,7,22,31.8,15,21,71.4,11,34,45,18,8,7,10,28,-3
MIA,MIA @ CHI,05/26/2011,W,240,83,26,66,39.4,6,15,40.0,25,33,75.8,6,36,42,12,7,8,17,18,3
OKC,OKC @ DAL,05/25/2011,L,240,96,35,82,42.7,5,16,31.3,21,25,84.0,15,34,49,16,7,7,13,24,-4
DAL,DAL vs. OKC,05/25/2011,W,240,100,32,78,41.0,5,20,25.0,31,36,86.1,14,30,44,19,8,5,12,17,4
MIA,MIA vs. CHI,05/24/2011,W,265,101,32,75,42.7,5,13,38.5,32,38,84.2,8,33,41,12,12,10,16,24,8
CHI,CHI @ MIA,05/24/2011,L,265,93,35,87,40.2,6,24,25.0,17,22,77.3,10,32,42,20,8,5,22,28,-8
DAL,DAL @ OKC,05/23/2011,W,265,112,35,81,43.2,8,25,32.0,34,39,87.2,5,28,33,16,15,2,13,22,7
OKC,OKC vs. DAL,05/23/2011,L,265,105,42,90,46.7,2,13,15.4,19,25,76.0,20,35,55,23,9,9,26,29,-7
CHI,CHI @ MIA,05/22/2011,L,240,85,32,77,41.6,5,12,41.7,16,21,76.2,13,28,41,15,5,4,13,24,-11
MIA,MIA vs. CHI,05/22/2011,W,240,96,34,67,50.7,3,9,33.3,25,29,86.2,5,27,32,20,6,8,10,17,11
OKC,OKC vs. DAL,05/21/2011,L,240,87,27,74,36.5,1,17,5.9,32,36,88.9,12,33,45,11,8,9,14,17,-6
DAL,DAL @ OKC,05/21/2011,W,240,93,36,82,43.9,7,21,33.3,14,18,77.8,9,28,37,21,11,4,12,24,6
OKC,OKC @ DAL,05/19/2011,W,240,106,39,70,55.7,7,18,38.9,21,26,80.8,9,29,38,17,5,5,15,24,6
DAL,DAL vs. OKC,05/19/2011,L,240,100,35,80,43.8,9,27,33.3,21,24,87.5,14,23,37,18,7,2,12,22,-6
MIA,MIA @ CHI,05/18/2011,W,240,85,32,68,47.1,3,13,23.1,18,24,75.0,10,35,45,18,7,6,15,26,10
CHI,CHI vs. MIA,05/18/2011,L,240,75,28,82,34.1,3,20,15.0,16,26,61.5,17,24,41,15,6,7,10,25,-10
DAL,DAL vs. OKC,05/17/2011,W,240,121,39,73,53.4,9,23,39.1,34,36,94.4,8,25,33,22,7,8,13,28,9
OKC,OKC @ DAL,05/17/2011,L,240,112,34,72,47.2,7,16,43.8,37,43,86.0,11,24,35,19,7,3,13,27,-9
OKC,OKC vs. MEM,05/15/2011,W,240,105,37,77,48.1,11,28,39.3,20,23,87.0,14,30,44,25,7,11,13,19,15
MEM,MEM @ OKC,05/15/2011,L,240,90,35,88,39.8,5,15,33.3,15,19,78.9,16,23,39,13,6,5,10,20,-15
MIA,MIA @ CHI,05/15/2011,L,240,82,32,68,47.1,3,8,37.5,15,15,100.0,6,27,33,11,7,6,16,15,-21
CHI,CHI vs. MIA,05/15/2011,W,240,103,38,87,43.7,10,21,47.6,17,20,85.0,19,26,45,23,11,5,10,13,21
MEM,MEM vs. OKC,05/13/2011,W,240,95,36,83,43.4,5,16,31.3,18,22,81.8,7,34,41,20,10,5,11,22,12
OKC,OKC @ MEM,05/13/2011,L,240,83,31,74,41.9,4,25,16.0,17,24,70.8,6,35,41,15,4,6,16,21,-12
ATL,ATL vs. CHI,05/12/2011,L,240,73,27,74,36.5,1,11,9.1,18,25,72.0,9,26,35,14,8,3,13,12,-20
CHI,CHI @ ATL,05/12/2011,W,240,93,41,77,53.2,3,13,23.1,8,10,80.0,6,29,35,34,7,6,11,22,20
MEM,MEM @ OKC,05/11/2011,L,240,72,28,78,35.9,2,8,25.0,14,23,60.9,8,25,33,15,8,7,15,19,-27
OKC,OKC vs. MEM,05/11/2011,W,240,99,37,78,47.4,9,20,45.0,16,21,76.2,15,35,50,22,7,5,18,26,27
MIA,MIA vs. BOS,05/11/2011,W,240,97,32,69,46.4,7,19,36.8,26,38,68.4,8,30,38,13,7,3,13,19,10
BOS,BOS @ MIA,05/11/2011,L,240,87,33,67,49.3,7,15,46.7,14,20,70.0,4,26,30,15,5,5,17,25,-10
ATL,ATL @ CHI,05/10/2011,L,240,83,34,71,47.9,1,12,8.3,14,17,82.4,8,25,33,20,2,5,11,21,-12
CHI,CHI vs. ATL,05/10/2011,W,240,95,35,72,48.6,4,14,28.6,21,28,75.0,10,27,37,21,5,3,11,16,12
MEM,MEM vs. OKC,05/09/2011,L,315,123,40,111,36.0,6,23,26.1,37,40,92.5,24,31,55,24,8,9,19,36,-10
OKC,OKC @ MEM,05/09/2011,W,315,133,43,95,45.3,5,24,20.8,42,50,84.0,16,38,54,16,9,8,18,31,10
MIA,MIA @ BOS,05/09/2011,W,265,98,35,79,44.3,3,13,23.1,25,28,89.3,10,35,45,10,10,2,17,24,8
BOS,BOS vs. MIA,05/09/2011,L,265,90,30,70,42.9,5,16,31.3,25,29,86.2,3,25,28,15,9,4,18,23,-8
DAL,DAL vs. LAL,05/08/2011,W,240,122,44,73,60.3,20,32,62.5,14,19,73.7,6,34,40,32,11,2,20,23,36
LAL,LAL @ DAL,05/08/2011,L,240,86,31,82,37.8,5,24,20.8,19,26,73.1,15,24,39,16,11,2,16,21,-36
ATL,ATL vs. CHI,05/08/2011,W,240,100,40,81,49.4,4,11,36.4,16,20,80.0,7,29,36,23,6,7,13,19,12
CHI,CHI @ ATL,05/08/2011,L,240,88,32,78,41.0,3,16,18.8,21,27,77.8,12,25,37,19,6,10,13,20,-12
OKC,OKC @ MEM,05/07/2011,L,265,93,34,93,36.6,4,21,19.0,21,23,91.3,18,35,53,19,6,10,14,30,-8
MEM,MEM vs. OKC,05/07/2011,W,265,101,34,90,37.8,3,10,30.0,30,44,68.2,20,35,55,17,9,9,9,17,8
BOS,BOS vs. MIA,05/07/2011,W,240,97,37,74,50.0,9,18,50.0,14,17,82.4,10,29,39,27,7,4,13,17,16
MIA,MIA @ BOS,05/07/2011,L,240,81,31,73,42.5,5,23,21.7,14,19,73.7,12,24,36,20,9,9,15,16,-16
DAL,DAL vs. LAL,05/06/2011,W,240,98,31,67,46.3,12,29,41.4,24,29,82.8,8,31,39,22,4,5,14,18,6
LAL,LAL @ DAL,05/06/2011,L,240,92,39,82,47.6,3,13,23.1,11,14,78.6,13,24,37,19,6,1,11,26,-6
ATL,ATL vs. CHI,05/06/2011,L,240,82,33,70,47.1,1,6,16.7,15,25,60.0,9,25,34,18,4,4,12,15,-17
CHI,CHI @ ATL,05/06/2011,W,240,99,37,79,46.8,10,20,50.0,15,18,83.3,18,29,47,18,7,9,12,20,17
ATL,ATL @ CHI,05/04/2011,L,240,73,26,77,33.8,3,13,23.1,18,24,75.0,10,29,39,14,10,10,12,15,-13
CHI,CHI vs. ATL,05/04/2011,W,240,86,33,84,39.3,5,22,22.7,15,18,83.3,14,44,58,19,6,5,14,17,13
DAL,DAL @ LAL,05/04/2011,W,240,93,34,81,42.0,8,25,32.0,17,21,81.0,11,28,39,20,4,4,11,16,12
LAL,LAL vs. DAL,05/04/2011,L,240,81,34,83,41.0,2,20,10.0,11,20,55.0,13,31,44,18,8,5,10,20,-12
OKC,OKC vs. MEM,05/03/2011,W,240,111,38,72,52.8,8,14,57.1,27,33,81.8,7,27,34,17,11,5,16,27,9
MEM,MEM @ OKC,05/03/2011,L,240,102,35,79,44.3,4,11,36.4,28,34,82.4,13,25,38,19,8,7,16,23,-9
MIA,MIA vs. BOS,05/03/2011,W,240,102,34,75,45.3,7,16,43.8,27,36,75.0,12,32,44,15,6,9,10,22,11
BOS,BOS @ MIA,05/03/2011,L,240,91,34,79,43.0,6,11,54.5,17,22,77.3,10,28,38,18,7,2,12,24,-11
CHI,CHI vs. ATL,05/02/2011,L,240,95,37,83,44.6,8,18,44.4,13,16,81.3,10,27,37,21,7,7,11,16,-8
ATL,ATL @ CHI,05/02/2011,W,240,103,40,78,51.3,7,13,53.8,16,20,80.0,9,29,38,20,8,8,10,17,8
LAL,LAL vs. DAL,05/02/2011,L,240,94,36,84,42.9,5,19,26.3,17,20,85.0,11,33,44,21,9,8,11,12,-2
DAL,DAL @ LAL,05/02/2011,W,240,96,39,79,49.4,9,20,45.0,9,11,81.8,5,35,40,30,8,8,11,17,2
OKC,OKC vs. MEM,05/01/2011,L,240,101,35,78,44.9,6,14,42.9,25,32,78.1,16,26,42,16,6,8,18,25,-13
MEM,MEM @ OKC,05/01/2011,W,240,114,44,89,49.4,3,8,37.5,23,28,82.1,17,28,45,21,11,7,8,23,13
BOS,BOS @ MIA,05/01/2011,L,240,90,32,75,42.7,12,24,50.0,14,18,77.8,7,32,39,18,7,3,14,24,-9
MIA,MIA vs. BOS,05/01/2011,W,240,99,32,68,47.1,9,19,47.4,26,32,81.3,5,34,39,17,7,8,18,21,9
MEM,MEM vs. SAS,04/29/2011,W,240,99,38,73,52.1,1,9,11.1,22,30,73.3,14,29,43,12,6,5,14,18,8
SAS,SAS @ MEM,04/29/2011,L,240,91,37,85,43.5,5,22,22.7,12,14,85.7,9,23,32,15,9,6,11,26,-8
LAL,LAL @ NOH,04/28/2011,W,240,98,34,74,45.9,5,14,35.7,25,26,96.2,14,29,43,23,7,6,13,18,18
NOH,NOH vs. LAL,04/28/2011,L,240,80,30,70,42.9,3,14,21.4,17,18,94.4,7,23,30,20,7,2,15,23,-18
ORL,ORL @ ATL,04/28/2011,L,240,81,29,67,43.3,5,19,26.3,18,22,81.8,7,24,31,14,8,7,14,15,-3
ATL,ATL vs. ORL,04/28/2011,W,240,84,31,79,39.2,8,22,36.4,14,15,93.3,14,24,38,18,8,4,16,19,3
DAL,DAL @ POR,04/28/2011,W,240,103,39,78,50.0,6,18,33.3,19,22,86.4,12,27,39,23,4,3,9,19,7
POR,POR vs. DAL,04/28/2011,L,240,96,35,79,44.3,5,21,23.8,21,26,80.8,15,26,41,16,3,3,7,18,-7
DEN,DEN @ OKC,04/27/2011,L,240,97,36,78,46.2,8,18,44.4,17,21,81.0,4,34,38,16,8,3,18,27,-3
OKC,OKC vs. DEN,04/27/2011,W,240,100,30,82,36.6,6,24,25.0,34,42,81.0,16,35,51,16,10,14,14,19,3
PHI,PHI @ MIA,04/27/2011,L,240,91,39,83,47.0,2,10,20.0,11,17,64.7,9,32,41,20,4,4,8,18,-6
MIA,MIA vs. PHI,04/27/2011,W,240,97,32,80,40.0,12,30,40.0,21,25,84.0,15,32,47,17,6,3,10,12,6
SAS,SAS vs. MEM,04/27/2011,W,265,110,39,85,45.9,7,22,31.8,25,32,78.1,10,35,45,23,9,4,15,18,7
MEM,MEM @ SAS,04/27/2011,L,265,103,41,87,47.1,3,10,30.0,18,23,78.3,10,40,50,19,12,5,17,28,-7
ORL,ORL vs. ATL,04/26/2011,W,240,101,34,83,41.0,11,26,42.3,22,29,75.9,11,37,48,18,7,4,6,25,25
