TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHH,CHH @ MIN,04/19/1992,L,240,107,46,105,43.8,0,1,0.0,15,27,55.6,20,29,49,28,9,7,8,19,-23
MIN,MIN vs. CHH,04/19/1992,W,240,130,53,93,57.0,1,8,12.5,23,27,85.2,12,37,49,42,4,10,12,20,23
DAL,DAL @ DEN,04/19/1992,W,240,104,40,86,46.5,4,8,50.0,20,26,76.9,10,32,42,15,5,4,14,16,12
DEN,DEN vs. DAL,04/19/1992,L,240,92,40,93,43.0,1,6,16.7,11,18,61.1,18,32,50,19,7,4,14,23,-12
PHX,PHX @ HOU,04/19/1992,W,240,100,43,96,44.8,1,9,11.1,13,21,61.9,19,41,60,29,5,5,14,17,3
HOU,HOU vs. PHX,04/19/1992,L,240,97,41,101,40.6,4,17,23.5,11,17,64.7,18,33,51,32,6,12,9,21,-3
ATL,ATL @ CLE,04/19/1992,L,240,108,45,85,52.9,4,8,50.0,14,21,66.7,5,30,35,26,10,3,12,24,-4
CLE,CLE vs. ATL,04/19/1992,W,240,112,43,85,50.6,4,12,33.3,22,31,71.0,11,31,42,30,10,8,12,19,4
BOS,BOS vs. MIA,04/19/1992,W,240,109,44,84,52.4,1,4,25.0,20,24,83.3,14,33,47,24,7,3,8,16,16
MIA,MIA @ BOS,04/19/1992,L,240,93,39,82,47.6,1,5,20.0,14,19,73.7,10,23,33,24,5,3,10,17,-16
DET,DET @ CHI,04/19/1992,L,240,85,31,74,41.9,3,9,33.3,20,28,71.4,12,21,33,15,9,3,15,30,-18
CHI,CHI vs. DET,04/19/1992,W,240,103,36,73,49.3,1,5,20.0,30,36,83.3,11,25,36,25,7,7,12,27,18
UTH,UTH @ SAN,04/19/1992,W,240,101,39,76,51.3,1,3,33.3,22,23,95.7,10,31,41,28,10,4,18,23,11
SAN,SAN vs. UTH,04/19/1992,L,240,90,34,81,42.0,2,10,20.0,20,27,74.1,14,21,35,16,7,5,14,22,-11
GOS,GOS vs. SEA,04/19/1992,W,240,108,39,79,49.4,5,10,50.0,25,40,62.5,15,29,44,19,12,3,24,24,2
SEA,SEA @ GOS,04/19/1992,L,240,106,41,96,42.7,3,10,30.0,21,29,72.4,25,27,52,21,18,6,20,28,-2
LAL,LAL vs. LAC,04/19/1992,W,265,109,41,88,46.6,1,4,25.0,26,34,76.5,12,25,37,22,9,7,12,18,1
LAC,LAC @ LAL,04/19/1992,L,265,108,48,90,53.3,1,6,16.7,11,19,57.9,12,30,42,31,8,3,16,29,-1
NJN,NJN vs. ORL,04/18/1992,W,240,127,50,87,57.5,2,8,25.0,25,33,75.8,14,28,42,35,8,7,18,18,16
ORL,ORL @ NJN,04/18/1992,L,240,111,45,90,50.0,5,11,45.5,16,21,76.2,16,19,35,18,10,1,18,28,-16
WAS,WAS @ PHL,04/18/1992,L,240,104,48,105,45.7,1,7,14.3,7,11,63.6,16,23,39,27,18,4,14,23,-7
PHL,PHL vs. WAS,04/18/1992,W,240,111,44,84,52.4,0,4,0.0,23,28,82.1,13,39,52,33,10,12,22,13,7
POR,POR vs. LAL,04/18/1992,L,240,101,36,73,49.3,6,11,54.5,23,30,76.7,8,21,29,23,10,2,21,31,-8
LAL,LAL @ POR,04/18/1992,W,240,109,38,72,52.8,1,1,100,32,42,76.2,13,29,42,20,11,5,21,28,8
MIL,MIL vs. NYK,04/18/1992,L,240,103,39,85,45.9,8,18,44.4,17,21,81.0,12,26,38,22,8,5,11,28,-11
NYK,NYK @ MIL,04/18/1992,W,240,114,41,75,54.7,8,14,57.1,24,35,68.6,8,28,36,19,6,2,12,20,11
CHH,CHH vs. PHL,04/17/1992,L,240,112,49,105,46.7,0,5,0.0,14,17,82.4,21,29,50,26,7,3,18,27,-10
PHL,PHL @ CHH,04/17/1992,W,240,122,42,93,45.2,5,12,41.7,33,42,78.6,18,29,47,28,12,4,10,18,10
DAL,DAL vs. HOU,04/17/1992,W,240,109,44,82,53.7,6,10,60.0,15,16,93.8,7,28,35,24,6,6,12,26,3
HOU,HOU @ DAL,04/17/1992,L,240,106,38,86,44.2,5,19,26.3,25,31,80.6,11,29,40,25,8,2,11,20,-3
IND,IND vs. CLE,04/17/1992,L,240,102,40,89,44.9,5,14,35.7,17,22,77.3,16,31,47,24,7,5,15,26,-5
CLE,CLE @ IND,04/17/1992,W,240,107,40,88,45.5,4,9,44.4,23,32,71.9,13,29,42,27,9,7,13,22,5
