TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
HOU,HOU vs. NYK,06/22/1994,W,240,90,34,73,46.6,4,11,36.4,18,23,78.3,3,30,33,22,8,5,9,23,6
NYK,NYK @ HOU,06/22/1994,L,240,84,31,78,39.7,4,20,20.0,18,24,75.0,14,26,40,17,5,3,11,23,-6
NYK,NYK @ HOU,06/19/1994,L,240,84,30,80,37.5,6,14,42.9,18,21,85.7,14,26,40,24,7,5,9,24,-2
HOU,HOU vs. NYK,06/19/1994,W,240,86,32,66,48.5,5,17,29.4,17,23,73.9,5,33,38,21,5,6,14,21,2
HOU,HOU @ NYK,06/17/1994,L,240,84,33,81,40.7,6,18,33.3,12,16,75.0,15,27,42,24,7,4,18,21,-7
NYK,NYK vs. HOU,06/17/1994,W,240,91,34,79,43.0,2,9,22.2,21,29,72.4,16,29,45,22,10,9,14,19,7
NYK,NYK vs. HOU,06/15/1994,W,240,91,35,86,40.7,7,17,41.2,14,21,66.7,21,29,50,21,7,3,12,23,9
HOU,HOU @ NYK,06/15/1994,L,240,82,31,72,43.1,6,20,30.0,14,18,77.8,7,26,33,19,5,5,17,27,-9
HOU,HOU @ NYK,06/12/1994,W,240,93,30,75,40.0,6,17,35.3,27,31,87.1,14,33,47,19,4,7,17,18,4
NYK,NYK vs. HOU,06/12/1994,L,240,89,35,87,40.2,6,19,31.6,13,19,68.4,18,24,42,17,8,9,11,25,-4
NYK,NYK @ HOU,06/10/1994,W,240,91,36,69,52.2,7,11,63.6,12,15,80.0,9,30,39,28,10,10,19,22,8
HOU,HOU vs. NYK,06/10/1994,L,240,83,32,82,39.0,6,22,27.3,13,18,72.2,17,21,38,20,11,5,16,18,-8
HOU,HOU vs. NYK,06/08/1994,W,240,85,31,74,41.9,4,16,25.0,19,30,63.3,12,37,49,21,10,4,17,21,7
NYK,NYK @ HOU,06/08/1994,L,240,78,31,91,34.1,4,15,26.7,12,19,63.2,13,32,45,23,10,4,13,24,-7
NYK,NYK vs. IND,06/05/1994,W,240,94,37,89,41.6,5,17,29.4,15,21,71.4,28,23,51,22,7,5,17,24,4
IND,IND @ NYK,06/05/1994,L,240,90,34,68,50.0,6,9,66.7,16,21,76.2,11,18,29,24,8,3,19,26,-4
NYK,NYK @ IND,06/03/1994,W,240,98,31,60,51.7,6,13,46.2,30,35,85.7,5,28,33,16,17,4,23,29,7
IND,IND vs. NYK,06/03/1994,L,240,91,30,72,41.7,3,11,27.3,28,39,71.8,13,23,36,19,11,3,20,23,-7
NYK,NYK vs. IND,06/01/1994,L,240,86,27,63,42.9,6,16,37.5,26,30,86.7,4,26,30,25,9,6,19,24,-7
IND,IND @ NYK,06/01/1994,W,240,93,37,78,47.4,6,14,42.9,13,26,50.0,12,28,40,20,10,0,20,26,7
UTH,UTH @ HOU,05/31/1994,L,240,83,28,84,33.3,4,14,28.6,23,29,79.3,21,24,45,21,3,3,11,20,-11
HOU,HOU vs. UTH,05/31/1994,W,240,94,34,72,47.2,8,21,38.1,18,23,78.3,11,32,43,28,10,10,11,18,11
IND,IND vs. NYK,05/30/1994,W,240,83,29,71,40.8,1,4,25.0,24,32,75.0,10,25,35,16,12,4,13,22,6
NYK,NYK @ IND,05/30/1994,L,240,77,26,69,37.7,6,18,33.3,19,25,76.0,15,29,44,14,8,3,24,26,-6
UTH,UTH vs. HOU,05/29/1994,L,240,78,28,74,37.8,3,10,30.0,19,29,65.5,13,32,45,17,7,6,11,22,-2
HOU,HOU @ UTH,05/29/1994,W,240,80,29,73,39.7,5,13,38.5,17,21,81.0,9,35,44,16,7,8,13,29,2
IND,IND vs. NYK,05/28/1994,W,240,88,32,65,49.2,0,3,0.0,24,34,70.6,13,33,46,24,8,7,19,33,20
NYK,NYK @ IND,05/28/1994,L,240,68,22,64,34.4,3,10,30.0,21,39,53.8,11,19,30,15,9,4,20,30,-20
UTH,UTH vs. HOU,05/27/1994,W,240,95,35,84,41.7,4,7,57.1,21,27,77.8,16,37,53,25,5,7,9,25,9
HOU,HOU @ UTH,05/27/1994,L,240,86,28,78,35.9,6,21,28.6,24,33,72.7,10,29,39,19,7,5,10,23,-9
NYK,NYK vs. IND,05/26/1994,W,240,89,34,76,44.7,3,11,27.3,18,28,64.3,19,28,47,22,11,8,16,26,11
IND,IND @ NYK,05/26/1994,L,240,78,30,78,38.5,1,9,11.1,17,20,85.0,13,22,35,20,7,3,16,23,-11
HOU,HOU vs. UTH,05/25/1994,W,240,104,32,70,45.7,8,19,42.1,32,34,94.1,13,29,42,22,6,3,13,26,5
UTH,UTH @ HOU,05/25/1994,L,240,99,34,68,50.0,3,11,27.3,28,37,75.7,6,17,23,26,8,2,8,27,-5
NYK,NYK vs. IND,05/24/1994,W,240,100,36,78,46.2,6,16,37.5,22,28,78.6,14,25,39,28,13,7,15,23,11
IND,IND @ NYK,05/24/1994,L,240,89,30,72,41.7,1,5,20.0,28,35,80.0,11,26,37,20,11,2,20,25,-11
UTH,UTH @ HOU,05/23/1994,L,240,88,38,81,46.9,0,5,0.0,12,16,75.0,16,30,46,21,12,3,16,14,-12
HOU,HOU vs. UTH,05/23/1994,W,240,100,39,80,48.8,10,24,41.7,12,18,66.7,11,24,35,22,11,5,13,13,12
CHI,CHI @ NYK,05/22/1994,L,240,77,32,74,43.2,2,12,16.7,11,21,52.4,7,37,44,14,4,4,9,20,-10
NYK,NYK vs. CHI,05/22/1994,W,240,87,33,84,39.3,4,17,23.5,17,28,60.7,18,34,52,21,5,5,8,23,10
DEN,DEN @ UTH,05/21/1994,L,240,81,28,73,38.4,2,8,25.0,23,37,62.2,22,31,53,15,4,5,15,25,-10
UTH,UTH vs. DEN,05/21/1994,W,240,91,36,79,45.6,2,4,50.0,17,20,85.0,12,25,37,29,5,5,6,27,10
