TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
PHX,PHX vs. CHI,06/20/1993,L,240,98,32,82,39.0,4,11,36.4,30,36,83.3,18,29,47,20,5,9,9,21,-1
CHI,CHI @ PHX,06/20/1993,W,240,99,39,82,47.6,10,14,71.4,11,20,55.0,12,27,39,24,6,2,8,26,1
PHX,PHX @ CHI,06/18/1993,W,240,108,42,83,50.6,3,10,30.0,21,26,80.8,14,31,45,24,6,4,11,16,10
CHI,CHI vs. PHX,06/18/1993,L,240,98,37,79,46.8,8,18,44.4,16,24,66.7,8,27,35,20,6,4,9,22,-10
CHI,CHI vs. PHX,06/16/1993,W,240,111,44,83,53.0,3,9,33.3,20,33,60.6,12,30,42,26,8,5,10,26,6
PHX,PHX @ CHI,06/16/1993,L,240,105,38,79,48.1,3,8,37.5,26,33,78.8,8,26,34,20,6,3,10,28,-6
CHI,CHI vs. PHX,06/13/1993,L,315,121,55,130,42.3,5,13,38.5,6,9,66.7,27,32,59,32,8,6,16,29,-8
PHX,PHX @ CHI,06/13/1993,W,315,129,49,99,49.5,9,13,69.2,22,31,71.0,15,37,52,25,9,8,19,26,8
CHI,CHI @ PHX,06/11/1993,W,240,111,45,89,50.6,3,7,42.9,18,25,72.0,17,26,43,31,10,7,16,21,3
PHX,PHX vs. CHI,06/11/1993,L,240,108,43,88,48.9,6,13,46.2,16,20,80.0,14,26,40,28,9,12,17,23,-3
PHX,PHX vs. CHI,06/09/1993,L,240,92,40,90,44.4,2,7,28.6,10,15,66.7,17,25,42,18,6,10,13,19,-8
CHI,CHI @ PHX,06/09/1993,W,240,100,43,81,53.1,3,8,37.5,11,19,57.9,10,31,41,28,10,8,12,17,8
PHX,PHX vs. SEA,06/05/1993,W,240,123,30,72,41.7,6,12,50.0,57,64,89.1,16,30,46,21,10,11,10,27,13
SEA,SEA @ PHX,06/05/1993,L,240,110,39,78,50.0,4,10,40.0,28,36,77.8,8,23,31,26,5,7,14,38,-13
NYK,NYK @ CHI,06/04/1993,L,240,88,35,71,49.3,1,8,12.5,17,25,68.0,16,26,42,23,7,1,19,23,-8
CHI,CHI vs. NYK,06/04/1993,W,240,96,33,70,47.1,3,9,33.3,27,29,93.1,7,19,26,25,9,5,10,21,8
PHX,PHX @ SEA,06/03/1993,L,240,102,38,88,43.2,2,15,13.3,24,32,75.0,15,27,42,17,6,4,15,25,-16
SEA,SEA vs. PHX,06/03/1993,W,240,118,44,88,50.0,5,14,35.7,25,30,83.3,14,36,50,25,12,10,14,29,16
NYK,NYK vs. CHI,06/02/1993,L,240,94,36,73,49.3,2,6,33.3,20,35,57.1,11,26,37,24,3,4,14,24,-3
CHI,CHI @ NYK,06/02/1993,W,240,97,40,83,48.2,1,4,25.0,16,23,69.6,17,31,48,19,8,3,14,25,3
PHX,PHX vs. SEA,06/01/1993,W,240,120,44,81,54.3,9,12,75.0,23,27,85.2,14,28,42,32,8,8,17,26,6
SEA,SEA @ PHX,06/01/1993,L,240,114,44,82,53.7,4,7,57.1,22,29,75.9,10,15,25,35,14,11,10,26,-6
CHI,CHI vs. NYK,05/31/1993,W,240,105,34,72,47.2,7,13,53.8,30,39,76.9,11,24,35,18,8,3,13,23,10
NYK,NYK @ CHI,05/31/1993,L,240,95,35,74,47.3,5,16,31.3,20,26,76.9,12,25,37,24,7,4,17,31,-10
SEA,SEA vs. PHX,05/30/1993,W,240,120,47,87,54.0,1,7,14.3,25,31,80.6,21,25,46,28,9,8,19,26,19
PHX,PHX @ SEA,05/30/1993,L,240,101,37,85,43.5,7,19,36.8,20,25,80.0,13,21,34,21,10,3,19,26,-19
NYK,NYK @ CHI,05/29/1993,L,240,83,30,69,43.5,3,9,33.3,20,32,62.5,12,23,35,19,6,5,20,30,-20
CHI,CHI vs. NYK,05/29/1993,W,240,103,31,65,47.7,5,8,62.5,36,42,85.7,7,23,30,24,8,6,12,25,20
PHX,PHX @ SEA,05/28/1993,W,240,104,36,76,47.4,3,11,27.3,29,41,70.7,13,25,38,20,13,6,9,27,7
SEA,SEA vs. PHX,05/28/1993,L,240,97,34,85,40.0,2,11,18.2,27,33,81.8,24,31,55,16,8,7,18,29,-7
PHX,PHX vs. SEA,05/26/1993,L,240,99,34,70,48.6,5,14,35.7,26,41,63.4,10,29,39,22,6,13,13,25,-4
SEA,SEA @ PHX,05/26/1993,W,240,103,37,84,44.0,4,11,36.4,25,32,78.1,17,24,41,17,6,8,10,28,4
CHI,CHI @ NYK,05/25/1993,L,240,91,31,72,43.1,4,12,33.3,25,39,64.1,11,23,34,15,6,1,9,27,-5
NYK,NYK vs. CHI,05/25/1993,W,240,96,33,65,50.8,4,7,57.1,26,38,68.4,13,32,45,19,5,5,13,29,5
PHX,PHX vs. SEA,05/24/1993,W,240,105,42,82,51.2,4,13,30.8,17,25,68.0,12,32,44,31,8,16,15,20,14
SEA,SEA @ PHX,05/24/1993,L,240,91,36,87,41.4,3,9,33.3,16,21,76.2,16,24,40,23,10,9,17,27,-14
CHI,CHI @ NYK,05/23/1993,L,240,90,33,76,43.4,5,9,55.6,19,25,76.0,10,18,28,17,13,1,15,26,-8
NYK,NYK vs. CHI,05/23/1993,W,240,98,36,65,55.4,6,11,54.5,20,32,62.5,15,33,48,20,10,3,23,22,8
HOU,HOU @ SEA,05/22/1993,L,265,100,34,75,45.3,6,18,33.3,26,36,72.2,9,29,38,22,8,3,9,22,-3
SEA,SEA vs. HOU,05/22/1993,W,265,103,40,97,41.2,4,14,28.6,19,24,79.2,24,27,51,22,6,3,9,24,3
HOU,HOU vs. SEA,05/20/1993,W,240,103,43,78,55.1,8,17,47.1,9,10,90.0,8,27,35,30,12,5,20,16,13
SEA,SEA @ HOU,05/20/1993,L,240,90,36,84,42.9,3,14,21.4,15,19,78.9,20,22,42,18,15,5,20,18,-13
SAN,SAN vs. PHX,05/20/1993,L,240,100,38,82,46.3,6,13,46.2,18,25,72.0,9,30,39,23,7,8,15,25,-2
PHX,PHX @ SAN,05/20/1993,W,240,102,39,85,45.9,6,12,50.0,18,28,64.3,8,32,40,22,11,8,14,23,2
HOU,HOU @ SEA,05/18/1993,L,240,95,32,75,42.7,4,11,36.4,27,34,79.4,14,26,40,23,7,1,21,20,-25
SEA,SEA vs. HOU,05/18/1993,W,240,120,48,88,54.5,4,10,40.0,20,26,76.9,15,26,41,21,11,7,10,20,25
PHX,PHX vs. SAN,05/18/1993,W,240,109,43,72,59.7,3,8,37.5,20,25,80.0,9,22,31,28,1,8,10,19,12
SAN,SAN @ PHX,05/18/1993,L,240,97,42,75,56.0,5,10,50.0,8,14,57.1,9,18,27,35,7,6,10,23,-12
NYK,NYK vs. CHH,05/18/1993,W,240,105,39,84,46.4,3,8,37.5,24,31,77.4,14,31,45,25,9,6,16,28,4
CHH,CHH @ NYK,05/18/1993,L,240,101,35,88,39.8,2,8,25.0,29,37,78.4,18,28,46,19,9,7,15,28,-4
CLE,CLE vs. CHI,05/17/1993,L,240,101,36,72,50.0,4,9,44.4,25,32,78.1,11,25,36,27,9,8,14,23,-2
CHI,CHI @ CLE,05/17/1993,W,240,103,39,76,51.3,3,6,50.0,22,28,78.6,12,23,35,17,8,4,12,27,2
NYK,NYK @ CHH,05/16/1993,W,240,94,36,66,54.5,0,4,0.0,22,24,91.7,7,33,40,25,7,8,21,27,2
CHH,CHH vs. NYK,05/16/1993,L,240,92,34,81,42.0,2,7,28.6,22,31,71.0,14,22,36,17,12,2,14,23,-2
