TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHH,CHH @ WAS,04/24/1994,L,240,99,38,93,40.9,6,18,33.3,17,27,63.0,11,31,42,16,9,5,15,16,-18
WAS,WAS vs. CHH,04/24/1994,W,240,117,53,100,53.0,0,6,0.0,11,12,91.7,14,46,60,30,11,5,16,22,18
SAC,SAC vs. GOS,04/24/1994,W,240,105,42,99,42.4,4,15,26.7,17,25,68.0,20,35,55,23,12,6,18,16,8
GOS,GOS @ SAC,04/24/1994,L,240,97,42,95,44.2,3,18,16.7,10,19,52.6,17,32,49,27,12,4,20,23,-8
MIN,MIN @ DAL,04/24/1994,L,240,102,32,71,45.1,1,4,25.0,37,41,90.2,16,28,44,19,5,2,23,31,-14
DAL,DAL vs. MIN,04/24/1994,W,240,116,41,83,49.4,1,9,11.1,33,41,80.5,17,22,39,23,13,7,11,27,14
POR,POR vs. SEA,04/24/1994,L,240,108,41,88,46.6,3,8,37.5,23,34,67.6,16,32,48,26,9,8,17,27,-2
SEA,SEA @ POR,04/24/1994,W,240,110,37,87,42.5,3,10,30.0,33,39,84.6,16,29,45,20,10,6,16,26,2
DEN,DEN @ HOU,04/24/1994,W,240,115,45,84,53.6,3,9,33.3,22,33,66.7,11,34,45,28,8,7,13,21,8
HOU,HOU vs. DEN,04/24/1994,L,240,107,43,86,50.0,6,16,37.5,15,22,68.2,11,29,40,31,7,11,14,27,-8
CLE,CLE vs. BOS,04/24/1994,W,240,117,51,84,60.7,1,6,16.7,14,24,58.3,6,36,42,41,11,7,16,17,26
BOS,BOS @ CLE,04/24/1994,L,240,91,40,87,46.0,3,7,42.9,8,16,50.0,12,29,41,27,8,5,18,18,-26
NJN,NJN @ ORL,04/24/1994,L,240,91,35,83,42.2,4,10,40.0,17,29,58.6,17,23,40,25,12,9,19,22,-29
ORL,ORL vs. NJN,04/24/1994,W,240,120,45,94,47.9,6,18,33.3,24,36,66.7,22,34,56,32,12,5,19,19,29
SAN,SAN @ LAC,04/24/1994,W,240,112,44,87,50.6,2,6,33.3,22,33,66.7,17,41,58,28,8,5,21,17,15
LAC,LAC vs. SAN,04/24/1994,L,240,97,39,95,41.1,4,18,22.2,15,20,75.0,12,27,39,23,14,7,16,28,-15
CHI,CHI vs. NYK,04/24/1994,L,240,76,28,75,37.3,4,14,28.6,16,26,61.5,13,23,36,18,8,1,11,23,-16
NYK,NYK @ CHI,04/24/1994,W,240,92,32,65,49.2,3,6,50.0,25,31,80.6,6,31,37,20,8,9,16,22,16
UTH,UTH @ LAL,04/24/1994,W,240,103,36,82,43.9,0,4,0.0,31,39,79.5,17,31,48,28,13,4,16,25,6
LAL,LAL vs. UTH,04/24/1994,L,240,97,33,78,42.3,4,19,21.1,27,42,64.3,16,28,44,19,8,5,19,21,-6
PHL,PHL vs. DET,04/24/1994,W,240,110,44,92,47.8,3,10,30.0,19,28,67.9,10,40,50,24,10,4,9,10,8
DET,DET @ PHL,04/24/1994,L,240,102,46,103,44.7,8,25,32.0,2,5,40.0,13,36,49,29,4,3,12,18,-8
DET,DET @ CHH,04/23/1994,L,240,103,41,94,43.6,9,23,39.1,12,13,92.3,18,38,56,26,6,5,20,17,-5
CHH,CHH vs. DET,04/23/1994,W,240,108,41,91,45.1,9,17,52.9,17,21,81.0,13,26,39,29,12,8,13,14,5
ORL,ORL @ ATL,04/23/1994,L,240,89,33,79,41.8,3,21,14.3,20,27,74.1,11,34,45,15,7,2,16,19,-4
ATL,ATL vs. ORL,04/23/1994,W,240,93,41,91,45.1,1,10,10.0,10,16,62.5,12,31,43,28,7,4,10,21,4
MIA,MIA @ IND,04/23/1994,L,240,81,30,81,37.0,1,8,12.5,20,25,80.0,13,22,35,19,9,3,17,21,-33
IND,IND vs. MIA,04/23/1994,W,240,114,45,82,54.9,6,11,54.5,18,28,64.3,18,35,53,28,12,7,17,21,33
MIL,MIL @ NJN,04/23/1994,L,240,100,37,88,42.0,0,4,0.0,26,33,78.8,10,26,36,19,8,5,18,18,-35
NJN,NJN vs. MIL,04/23/1994,W,240,135,54,92,58.7,4,11,36.4,23,28,82.1,13,37,50,44,12,11,16,24,35
PHX,PHX vs. SAC,04/23/1994,W,240,101,38,94,40.4,4,23,17.4,21,28,75.0,15,34,49,25,12,5,12,21,1
SAC,SAC @ PHX,04/23/1994,L,240,100,39,88,44.3,6,16,37.5,16,28,57.1,19,36,55,29,8,3,19,24,-1
LAL,LAL @ GOS,04/23/1994,L,240,91,38,102,37.3,2,9,22.2,13,18,72.2,19,27,46,23,9,2,11,22,-35
GOS,GOS vs. LAL,04/23/1994,W,240,126,50,97,51.5,5,15,33.3,21,27,77.8,18,42,60,39,7,8,14,14,35
SAN,SAN @ SEA,04/22/1994,L,240,87,26,69,37.7,1,6,16.7,34,44,77.3,20,32,52,13,4,4,20,15,-7
SEA,SEA vs. SAN,04/22/1994,W,240,94,38,85,44.7,1,8,12.5,17,21,81.0,14,27,41,19,15,2,9,28,7
MIN,MIN vs. POR,04/22/1994,L,240,103,40,79,50.6,1,4,25.0,22,28,78.6,11,36,47,31,5,7,22,31,-15
POR,POR @ MIN,04/22/1994,W,240,118,42,97,43.3,5,15,33.3,29,39,74.4,17,27,44,28,15,5,8,21,15
DEN,DEN vs. UTH,04/22/1994,L,240,106,36,69,52.2,7,14,50.0,27,37,73.0,7,28,35,15,3,7,20,26,-7
UTH,UTH @ DEN,04/22/1994,W,240,113,45,81,55.6,1,3,33.3,22,35,62.9,9,24,33,28,13,5,9,29,7
MIL,MIL vs. NYK,04/22/1994,L,240,85,33,85,38.8,3,16,18.8,16,36,44.4,21,27,48,25,7,4,20,24,-40
NYK,NYK @ MIL,04/22/1994,W,240,125,49,88,55.7,6,10,60.0,21,26,80.8,10,36,46,33,14,4,11,24,40
DAL,DAL vs. HOU,04/22/1994,W,240,107,42,88,47.7,2,7,28.6,21,29,72.4,13,27,40,19,16,1,15,23,12
HOU,HOU @ DAL,04/22/1994,L,240,95,35,78,44.9,8,18,44.4,17,26,65.4,15,35,50,18,8,4,26,25,-12
PHL,PHL @ IND,04/22/1994,L,240,88,33,90,36.7,3,9,33.3,19,29,65.5,14,26,40,19,13,2,20,23,-45
IND,IND vs. PHL,04/22/1994,W,240,133,55,101,54.5,0,9,0.0,23,28,82.1,18,46,64,39,13,5,18,19,45
WAS,WAS @ CLE,04/22/1994,L,240,96,36,78,46.2,2,7,28.6,22,28,78.6,4,33,37,24,5,4,17,20,-21
CLE,CLE vs. WAS,04/22/1994,W,240,117,49,87,56.3,2,8,25.0,17,26,65.4,8,27,35,37,11,7,12,26,21
PHX,PHX vs. LAC,04/22/1994,W,240,127,49,81,60.5,7,17,41.2,22,28,78.6,13,30,43,41,7,3,15,14,6
LAC,LAC @ PHX,04/22/1994,L,240,121,51,98,52.0,6,10,60.0,13,14,92.9,15,18,33,39,12,2,10,18,-6
BOS,BOS @ CHI,04/22/1994,W,290,104,37,90,41.1,2,6,33.3,28,33,84.8,14,34,48,17,11,3,12,26,10
