TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DET,DET vs. LAL,06/15/2004,W,240,100,35,76,46.1,2,14,14.3,28,39,71.8,20,30,50,18,8,2,14,27,13
LAL,LAL @ DET,06/15/2004,L,240,87,31,75,41.3,4,16,25.0,21,33,63.6,14,22,36,18,10,2,13,27,-13
DET,DET vs. LAL,06/13/2004,W,240,88,29,68,42.6,2,13,15.4,28,41,68.3,9,36,45,16,5,4,14,20,8
LAL,LAL @ DET,06/13/2004,L,240,80,33,78,42.3,3,16,18.8,11,22,50.0,9,29,38,23,4,1,10,35,-8
DET,DET vs. LAL,06/10/2004,W,240,88,31,76,40.8,5,15,33.3,21,30,70.0,15,36,51,17,11,4,13,16,20
LAL,LAL @ DET,06/10/2004,L,240,68,27,74,36.5,6,27,22.2,8,13,61.5,7,32,39,19,7,4,16,28,-20
DET,DET @ LAL,06/08/2004,L,265,91,32,81,39.5,6,12,50.0,21,31,67.7,19,27,46,19,6,6,20,23,-8
LAL,LAL vs. DET,06/08/2004,W,265,99,38,80,47.5,6,17,35.3,17,25,68.0,9,29,38,28,7,3,14,27,8
DET,DET @ LAL,06/06/2004,W,240,87,30,65,46.2,6,12,50.0,21,30,70.0,9,27,36,19,9,4,14,17,12
LAL,LAL vs. DET,06/06/2004,L,240,75,29,73,39.7,3,13,23.1,14,18,77.8,13,24,37,15,8,4,17,25,-12
DET,DET vs. IND,06/01/2004,W,240,69,27,82,32.9,4,9,44.4,11,15,73.3,15,33,48,17,7,4,14,18,4
IND,IND @ DET,06/01/2004,L,240,65,24,66,36.4,6,21,28.6,11,15,73.3,6,35,41,17,7,7,17,20,-4
LAL,LAL vs. MIN,05/31/2004,W,240,96,35,78,44.9,9,21,42.9,17,36,47.2,14,24,38,31,8,5,10,26,6
MIN,MIN @ LAL,05/31/2004,L,240,90,32,74,43.2,2,9,22.2,24,26,92.3,12,36,48,17,4,5,20,31,-6
DET,DET @ IND,05/30/2004,W,240,83,29,70,41.4,4,10,40.0,21,23,91.3,10,36,46,18,6,13,16,22,18
IND,IND vs. DET,05/30/2004,L,240,65,25,76,32.9,4,21,19.0,11,18,61.1,11,31,42,19,9,12,10,20,-18
