TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SAS,SAS @ CLE,06/14/2007,W,240,83,29,68,42.6,5,19,26.3,20,34,58.8,11,34,45,13,5,2,14,19,1
CLE,CLE vs. SAS,06/14/2007,L,240,82,32,84,38.1,7,22,31.8,11,16,68.8,12,30,42,23,5,2,10,24,-1
SAS,SAS @ CLE,06/12/2007,W,240,75,28,68,41.2,10,19,52.6,9,16,56.3,7,34,41,15,7,2,14,15,3
CLE,CLE vs. SAS,06/12/2007,L,240,72,29,79,36.7,3,19,15.8,11,15,73.3,15,33,48,19,7,5,13,17,-3
CLE,CLE @ SAS,06/10/2007,L,240,92,33,81,40.7,7,19,36.8,19,29,65.5,13,29,42,15,5,2,12,19,-11
SAS,SAS vs. CLE,06/10/2007,W,240,103,37,77,48.1,8,24,33.3,21,26,80.8,12,34,46,21,6,6,10,23,11
SAS,SAS vs. CLE,06/07/2007,W,240,85,34,75,45.3,6,16,37.5,11,16,68.8,13,30,43,18,6,5,14,15,9
CLE,CLE @ SAS,06/07/2007,L,240,76,30,70,42.9,5,15,33.3,11,15,73.3,9,23,32,9,8,2,12,16,-9
DET,DET @ CLE,06/02/2007,L,240,82,28,78,35.9,3,14,21.4,23,27,85.2,10,23,33,16,11,5,12,32,-16
CLE,CLE vs. DET,06/02/2007,W,240,98,28,72,38.9,9,21,42.9,33,46,71.7,17,36,53,19,7,4,18,24,16
DET,DET vs. CLE,05/31/2007,L,290,107,34,80,42.5,4,14,28.6,35,43,81.4,12,33,45,18,7,7,14,27,-2
CLE,CLE @ DET,05/31/2007,W,290,109,37,82,45.1,7,15,46.7,28,39,71.8,12,27,39,13,8,5,14,36,2
SAS,SAS vs. UTA,05/30/2007,W,240,109,39,76,51.3,7,15,46.7,24,32,75.0,10,33,43,22,5,4,7,25,25
UTA,UTA @ SAS,05/30/2007,L,240,84,26,68,38.2,2,8,25.0,30,43,69.8,12,29,41,13,4,2,13,25,-25
CLE,CLE vs. DET,05/29/2007,W,240,91,30,68,44.1,4,14,28.6,27,33,81.8,3,31,34,16,8,1,13,23,4
DET,DET @ CLE,05/29/2007,L,240,87,31,75,41.3,3,17,17.6,22,29,75.9,10,30,40,16,7,6,13,24,-4
SAS,SAS @ UTA,05/28/2007,W,240,91,28,69,40.6,5,15,33.3,30,41,73.2,12,27,39,11,8,6,13,17,12
UTA,UTA vs. SAS,05/28/2007,L,240,79,32,68,47.1,1,7,14.3,14,20,70.0,8,30,38,18,10,8,17,27,-12
DET,DET @ CLE,05/27/2007,L,240,82,30,67,44.8,5,15,33.3,17,20,85.0,8,26,34,15,6,1,15,20,-6
CLE,CLE vs. DET,05/27/2007,W,240,88,33,67,49.3,6,13,46.2,16,21,76.2,6,28,34,20,6,3,11,16,6
SAS,SAS @ UTA,05/26/2007,L,240,83,28,64,43.8,7,21,33.3,20,25,80.0,3,24,27,17,6,4,20,30,-26
UTA,UTA vs. SAS,05/26/2007,W,240,109,41,77,53.2,6,9,66.7,21,32,65.6,10,21,31,26,12,5,12,26,26
DET,DET vs. CLE,05/24/2007,W,240,79,32,72,44.4,6,11,54.5,9,19,47.4,11,26,37,23,7,6,18,16,3
CLE,CLE @ DET,05/24/2007,L,240,76,30,75,40.0,6,19,31.6,10,15,66.7,11,28,39,17,11,4,15,18,-3
UTA,UTA @ SAS,05/22/2007,L,240,96,36,82,43.9,3,11,27.3,21,29,72.4,13,22,35,21,14,4,17,18,-9
SAS,SAS vs. UTA,05/22/2007,W,240,105,40,72,55.6,13,26,50.0,12,18,66.7,9,35,44,28,10,10,24,23,9
DET,DET vs. CLE,05/21/2007,W,240,79,31,72,43.1,5,14,35.7,12,17,70.6,11,30,41,25,3,10,16,17,3
CLE,CLE @ DET,05/21/2007,L,240,76,32,86,37.2,1,10,10.0,11,17,64.7,18,31,49,16,11,3,8,16,-3
UTA,UTA @ SAS,05/20/2007,L,240,100,36,86,41.9,5,14,35.7,23,27,85.2,21,27,48,16,4,4,14,30,-8
SAS,SAS vs. UTA,05/20/2007,W,240,108,38,70,54.3,5,11,45.5,27,40,67.5,8,25,33,26,6,7,13,21,8
CLE,CLE @ NJN,05/18/2007,W,240,88,33,76,43.4,11,27,40.7,11,18,61.1,8,32,40,18,9,2,12,24,16
NJN,NJN vs. CLE,05/18/2007,L,240,72,26,69,37.7,3,16,18.8,17,25,68.0,7,35,42,17,6,2,16,16,-16
PHX,PHX @ SAS,05/18/2007,L,240,106,41,85,48.2,6,16,37.5,18,24,75.0,13,30,43,22,5,9,18,23,-8
SAS,SAS vs. PHX,05/18/2007,W,240,114,43,88,48.9,7,22,31.8,21,30,70.0,16,27,43,22,9,9,12,21,8
CHI,CHI vs. DET,05/17/2007,L,240,85,28,75,37.3,5,18,27.8,24,35,68.6,10,25,35,23,5,1,11,24,-10
DET,DET @ CHI,05/17/2007,W,240,95,32,76,42.1,5,18,27.8,26,31,83.9,14,34,48,17,4,5,11,25,10
CLE,CLE vs. NJN,05/16/2007,L,240,72,24,72,33.3,4,15,26.7,20,29,69.0,15,30,45,13,7,3,18,22,-11
NJN,NJN @ CLE,05/16/2007,W,240,83,33,69,47.8,8,21,38.1,9,20,45.0,7,32,39,21,9,3,19,20,11
SAS,SAS @ PHX,05/16/2007,W,240,88,29,72,40.3,8,23,34.8,22,28,78.6,6,33,39,15,8,6,13,21,3
PHX,PHX vs. SAS,05/16/2007,L,240,85,31,77,40.3,7,18,38.9,16,17,94.1,9,33,42,18,3,3,16,21,-3
GSW,GSW @ UTA,05/15/2007,L,240,87,28,77,36.4,6,30,20.0,25,29,86.2,6,29,35,14,16,7,16,31,-13
UTA,UTA vs. GSW,05/15/2007,W,240,100,37,83,44.6,5,17,29.4,21,33,63.6,20,39,59,19,5,3,25,19,13
CHI,CHI @ DET,05/15/2007,W,240,108,43,75,57.3,10,16,62.5,12,19,63.2,11,24,35,28,10,6,15,22,16
DET,DET vs. CHI,05/15/2007,L,240,92,33,78,42.3,5,19,26.3,21,25,84.0,16,21,37,17,7,1,13,19,-16
NJN,NJN vs. CLE,05/14/2007,L,240,85,27,75,36.0,5,19,26.3,26,32,81.3,9,32,41,21,4,1,13,27,-2
CLE,CLE @ NJN,05/14/2007,W,240,87,27,65,41.5,5,14,35.7,28,37,75.7,5,38,43,17,6,4,13,25,2
PHX,PHX @ SAS,05/14/2007,W,240,104,38,79,48.1,5,14,35.7,23,29,79.3,11,31,42,19,6,5,17,17,6
SAS,SAS vs. PHX,05/14/2007,L,240,98,38,80,47.5,9,23,39.1,13,14,92.9,6,26,32,23,9,7,17,26,-6
DET,DET @ CHI,05/13/2007,L,240,87,31,83,37.3,6,25,24.0,19,27,70.4,11,22,33,23,9,2,12,30,-15
CHI,CHI vs. DET,05/13/2007,W,240,102,35,71,49.3,5,12,41.7,27,35,77.1,15,36,51,18,5,5,20,21,15
GSW,GSW vs. UTA,05/13/2007,L,240,101,34,84,40.5,12,39,30.8,21,34,61.8,13,23,36,14,9,7,15,31,-14
UTA,UTA @ GSW,05/13/2007,W,240,115,37,72,51.4,4,8,50.0,37,43,86.0,10,42,52,25,7,2,21,32,14
CLE,CLE @ NJN,05/12/2007,L,240,85,29,70,41.4,5,13,38.5,22,26,84.6,5,25,30,16,7,4,13,21,-11
NJN,NJN vs. CLE,05/12/2007,W,240,96,34,72,47.2,8,18,44.4,20,27,74.1,11,32,43,27,6,2,18,21,11
PHX,PHX @ SAS,05/12/2007,L,240,101,37,76,48.7,9,17,52.9,18,27,66.7,5,34,39,20,4,9,16,24,-7
SAS,SAS vs. PHX,05/12/2007,W,240,108,36,82,43.9,7,20,35.0,29,36,80.6,11,36,47,19,9,5,11,22,7
UTA,UTA @ GSW,05/11/2007,L,240,105,37,78,47.4,6,14,42.9,25,33,75.8,14,30,44,24,5,3,25,28,-20
GSW,GSW vs. UTA,05/11/2007,W,240,125,41,78,52.6,15,32,46.9,28,35,80.0,9,23,32,22,12,8,14,28,20
CHI,CHI vs. DET,05/10/2007,L,240,74,28,83,33.7,2,13,15.4,16,26,61.5,22,38,60,12,3,6,14,17,-7
DET,DET @ CHI,05/10/2007,W,240,81,32,81,39.5,6,21,28.6,11,17,64.7,10,33,43,20,7,10,9,19,7
UTA,UTA vs. GSW,05/09/2007,W,265,127,46,87,52.9,7,16,43.8,28,33,84.8,19,41,60,31,6,8,23,29,10
GSW,GSW @ UTA,05/09/2007,L,265,117,38,90,42.2,15,40,37.5,26,37,70.3,13,19,32,15,13,6,12,29,-10
NJN,NJN @ CLE,05/08/2007,L,240,92,34,65,52.3,8,14,57.1,16,25,64.0,3,29,32,22,4,1,17,25,-10
CLE,CLE vs. NJN,05/08/2007,W,240,102,38,85,44.7,6,23,26.1,20,33,60.6,19,30,49,19,10,2,9,20,10
SAS,SAS @ PHX,05/08/2007,L,240,81,33,77,42.9,6,18,33.3,9,16,56.3,12,28,40,14,9,5,20,18,-20
PHX,PHX vs. SAS,05/08/2007,W,240,101,40,76,52.6,4,10,40.0,17,19,89.5,6,33,39,25,10,6,16,14,20
GSW,GSW @ UTA,05/07/2007,L,240,112,41,90,45.6,12,31,38.7,18,25,72.0,14,22,36,20,14,6,16,25,-4
UTA,UTA vs. GSW,05/07/2007,W,240,116,42,88,47.7,8,23,34.8,24,32,75.0,20,34,54,24,9,8,21,25,4
DET,DET vs. CHI,05/07/2007,W,240,108,41,78,52.6,10,19,52.6,16,23,69.6,15,36,51,25,4,1,22,36,21
CHI,CHI @ DET,05/07/2007,L,240,87,23,67,34.3,4,20,20.0,37,52,71.2,8,22,30,19,9,5,13,24,-21
NJN,NJN @ CLE,05/06/2007,L,240,77,29,78,37.2,5,20,25.0,14,16,87.5,9,28,37,20,6,5,15,17,-4
CLE,CLE vs. NJN,05/06/2007,W,240,81,35,87,40.2,5,17,29.4,6,11,54.5,20,31,51,21,8,9,16,17,4
PHX,PHX vs. SAS,05/06/2007,L,240,106,39,84,46.4,6,14,42.9,22,27,81.5,8,27,35,18,4,5,7,24,-5
SAS,SAS @ PHX,05/06/2007,W,240,111,41,82,50.0,7,16,43.8,22,33,66.7,14,35,49,18,4,6,15,25,5
CHI,CHI @ DET,05/05/2007,L,240,69,23,70,32.9,5,17,29.4,18,28,64.3,11,27,38,13,7,2,22,19,-26
DET,DET vs. CHI,05/05/2007,W,240,95,36,82,43.9,8,18,44.4,15,18,83.3,14,32,46,24,12,4,16,25,26
HOU,HOU vs. UTA,05/05/2007,L,240,99,34,73,46.6,7,21,33.3,24,33,72.7,9,24,33,22,7,7,9,20,-4
UTA,UTA @ HOU,05/05/2007,W,240,103,40,78,51.3,5,11,45.5,18,24,75.0,10,30,40,28,4,2,10,25,4
TOR,TOR @ NJN,05/04/2007,L,240,97,36,74,48.6,6,10,60.0,19,25,76.0,3,27,30,20,10,5,11,21,-1
NJN,NJN vs. TOR,05/04/2007,W,240,98,32,65,49.2,10,19,52.6,24,29,82.8,7,33,40,24,6,2,19,19,1
UTA,UTA vs. HOU,05/03/2007,W,240,94,35,72,48.6,7,15,46.7,17,19,89.5,4,34,38,23,8,7,13,22,12
HOU,HOU @ UTA,05/03/2007,L,240,82,29,67,43.3,6,21,28.6,18,23,78.3,7,30,37,16,4,1,19,21,-12
GSW,GSW vs. DAL,05/03/2007,W,240,111,37,79,46.8,14,30,46.7,23,30,76.7,16,37,53,24,11,3,13,16,25
DAL,DAL @ GSW,05/03/2007,L,240,86,32,85,37.6,12,37,32.4,10,13,76.9,10,28,38,20,4,2,15,26,-25
LAL,LAL @ PHX,05/02/2007,L,240,110,43,90,47.8,4,17,23.5,20,28,71.4,15,30,45,7,9,3,16,32,-9
PHX,PHX vs. LAL,05/02/2007,W,240,119,40,86,46.5,8,23,34.8,31,39,79.5,12,28,40,23,10,3,14,23,9
SAS,SAS vs. DEN,05/02/2007,W,240,93,38,80,47.5,10,21,47.6,7,14,50.0,12,28,40,25,7,5,10,16,15
DEN,DEN @ SAS,05/02/2007,L,240,78,29,77,37.7,7,15,46.7,13,17,76.5,14,28,42,16,5,6,16,19,-15
TOR,TOR vs. NJN,05/01/2007,W,240,98,34,69,49.3,5,12,41.7,25,29,86.2,5,31,36,12,3,6,10,25,2
NJN,NJN @ TOR,05/01/2007,L,240,96,32,72,44.4,9,26,34.6,23,29,79.3,9,27,36,21,5,3,13,26,-2
DAL,DAL vs. GSW,05/01/2007,W,240,118,40,79,50.6,10,21,47.6,28,36,77.8,11,33,44,22,7,2,15,23,6
GSW,GSW @ DAL,05/01/2007,L,240,112,39,83,47.0,16,35,45.7,18,26,69.2,11,27,38,23,8,1,15,28,-6
CLE,CLE @ WAS,04/30/2007,W,240,97,32,75,42.7,5,16,31.3,28,31,90.3,10,36,46,19,9,3,10,18,7
WAS,WAS vs. CLE,04/30/2007,L,240,90,34,80,42.5,6,19,31.6,16,18,88.9,6,29,35,20,4,0,12,21,-7
SAS,SAS @ DEN,04/30/2007,W,240,96,37,81,45.7,8,25,32.0,14,20,70.0,10,31,41,25,10,2,11,17,7
DEN,DEN vs. SAS,04/30/2007,L,240,89,37,78,47.4,2,16,12.5,13,16,81.3,7,34,41,23,5,4,16,23,-7
UTA,UTA @ HOU,04/30/2007,L,240,92,37,79,46.8,5,12,41.7,13,18,72.2,9,30,39,27,6,7,14,18,-4
HOU,HOU vs. UTA,04/30/2007,W,240,96,35,75,46.7,12,24,50.0,14,18,77.8,10,32,42,25,12,5,16,17,4
MIA,MIA vs. CHI,04/29/2007,L,240,79,31,72,43.1,4,17,23.5,13,27,48.1,10,39,49,18,2,6,17,27,-13
CHI,CHI @ MIA,04/29/2007,W,240,92,32,84,38.1,9,21,42.9,19,24,79.2,10,32,42,18,11,2,5,22,13
NJN,NJN vs. TOR,04/29/2007,W,240,102,36,76,47.4,14,27,51.9,16,22,72.7,8,34,42,29,9,4,18,25,21
TOR,TOR @ NJN,04/29/2007,L,240,81,28,67,41.8,3,13,23.1,22,28,78.6,8,32,40,19,8,4,23,24,-21
PHX,PHX @ LAL,04/29/2007,W,240,113,41,86,47.7,7,23,30.4,24,31,77.4,11,33,44,34,12,4,15,20,13
LAL,LAL vs. PHX,04/29/2007,L,240,100,39,88,44.3,9,27,33.3,13,17,76.5,10,29,39,21,6,6,20,25,-13
GSW,GSW vs. DAL,04/29/2007,W,240,103,34,74,45.9,12,31,38.7,23,37,62.2,10,24,34,16,8,4,10,23,4
DAL,DAL @ GSW,04/29/2007,L,240,99,35,80,43.8,9,25,36.0,20,26,76.9,15,34,49,18,6,8,19,28,-4
CLE,CLE @ WAS,04/28/2007,W,240,98,38,76,50.0,6,13,46.2,16,18,88.9,14,34,48,24,3,3,16,16,6
