TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
VAN,VAN @ GSW,04/18/2001,W,240,95,37,92,40.2,4,9,44.4,17,21,81.0,27,31,58,18,9,10,14,21,14
GSW,GSW vs. VAN,04/18/2001,L,240,81,31,102,30.4,3,11,27.3,16,26,61.5,33,28,61,21,7,10,15,22,-14
WAS,WAS vs. TOR,04/18/2001,L,240,92,35,80,43.8,6,11,54.5,16,26,61.5,8,34,42,16,5,4,16,17,-6
TOR,TOR @ WAS,04/18/2001,W,240,98,43,95,45.3,6,18,33.3,6,8,75.0,15,36,51,28,9,4,11,17,6
CHH,CHH @ BOS,04/18/2001,W,240,97,34,84,40.5,5,10,50.0,24,29,82.8,16,34,50,19,8,5,15,20,5
BOS,BOS vs. CHH,04/18/2001,L,240,92,31,80,38.8,9,30,30.0,21,25,84.0,11,31,42,18,10,6,13,22,-5
IND,IND @ CLE,04/18/2001,W,265,105,43,92,46.7,5,18,27.8,14,18,77.8,10,43,53,34,8,9,18,25,4
CLE,CLE vs. IND,04/18/2001,L,265,101,39,99,39.4,2,9,22.2,21,25,84.0,13,37,50,23,11,5,10,17,-4
MIA,MIA @ ORL,04/18/2001,W,240,103,43,89,48.3,2,10,20.0,15,23,65.2,19,32,51,33,10,5,14,17,12
ORL,ORL vs. MIA,04/18/2001,L,240,91,35,78,44.9,7,21,33.3,14,18,77.8,10,26,36,23,8,7,18,24,-12
PHX,PHX vs. UTA,04/18/2001,W,240,98,35,66,53.0,1,5,20.0,27,39,69.2,7,25,32,21,8,3,18,23,5
UTA,UTA @ PHX,04/18/2001,L,240,93,36,72,50.0,2,9,22.2,19,28,67.9,13,22,35,25,8,2,23,27,-5
SAS,SAS @ SEA,04/18/2001,L,240,67,27,82,32.9,6,24,25.0,7,11,63.6,13,32,45,19,2,8,12,12,-38
SEA,SEA vs. SAS,04/18/2001,W,240,105,43,85,50.6,8,13,61.5,11,15,73.3,9,41,50,26,6,8,5,14,38
DET,DET @ NYK,04/18/2001,L,240,88,30,82,36.6,1,12,8.3,27,34,79.4,8,36,44,17,9,2,9,24,-6
NYK,NYK vs. DET,04/18/2001,W,240,94,35,78,44.9,5,15,33.3,19,22,86.4,7,42,49,21,5,2,16,29,6
PHI,PHI vs. CHI,04/18/2001,L,240,86,33,78,42.3,5,17,29.4,15,19,78.9,16,29,45,25,6,1,18,19,-6
CHI,CHI @ PHI,04/18/2001,W,240,92,34,68,50.0,3,9,33.3,21,25,84.0,3,26,29,27,12,4,11,16,6
MIN,MIN @ DAL,04/18/2001,L,240,100,39,95,41.1,5,11,45.5,17,26,65.4,14,34,48,23,7,2,14,17,-20
DAL,DAL vs. MIN,04/18/2001,W,240,120,50,91,54.9,5,17,29.4,15,20,75.0,6,39,45,33,8,9,14,23,20
SAC,SAC @ DEN,04/18/2001,L,240,100,38,84,45.2,6,21,28.6,18,24,75.0,10,29,39,28,15,4,16,17,-10
DEN,DEN vs. SAC,04/18/2001,W,240,110,46,108,42.6,11,21,52.4,7,8,87.5,27,37,64,33,10,6,19,18,10
DET,DET @ TOR,04/17/2001,L,265,92,36,88,40.9,2,17,11.8,18,24,75.0,15,43,58,21,9,7,24,25,-2
TOR,TOR vs. DET,04/17/2001,W,265,94,33,93,35.5,4,16,25.0,24,34,70.6,13,33,46,21,10,9,13,24,2
ATL,ATL vs. WAS,04/17/2001,W,240,122,45,99,45.5,8,20,40.0,24,35,68.6,19,26,45,22,10,5,13,26,3
WAS,WAS @ ATL,04/17/2001,L,240,119,43,86,50.0,3,10,30.0,30,36,83.3,11,32,43,21,10,2,18,24,-3
POR,POR vs. SAS,04/17/2001,L,240,93,40,82,48.8,5,13,38.5,8,13,61.5,14,30,44,19,3,4,12,19,-6
SAS,SAS @ POR,04/17/2001,W,240,99,37,85,43.5,6,17,35.3,19,24,79.2,18,31,49,24,8,2,11,15,6
MIL,MIL @ MIA,04/17/2001,L,240,89,36,87,41.4,8,20,40.0,9,14,64.3,14,24,38,17,8,5,13,18,-2
MIA,MIA vs. MIL,04/17/2001,W,240,91,35,80,43.8,4,14,28.6,17,21,81.0,14,34,48,24,9,9,15,14,2
DEN,DEN @ LAL,04/17/2001,L,240,91,30,84,35.7,9,26,34.6,22,33,66.7,17,26,43,18,7,2,16,27,-17
LAL,LAL vs. DEN,04/17/2001,W,240,108,37,86,43.0,4,21,19.0,30,34,88.2,20,38,58,21,10,8,17,24,17
UTA,UTA vs. LAC,04/17/2001,W,240,97,35,68,51.5,1,9,11.1,26,34,76.5,7,34,41,24,5,5,17,28,5
LAC,LAC @ UTA,04/17/2001,L,240,92,31,76,40.8,6,15,40.0,24,29,82.8,10,24,34,12,10,3,16,30,-5
HOU,HOU vs. MIN,04/17/2001,W,240,114,42,84,50.0,7,21,33.3,23,28,82.1,14,40,54,23,8,2,18,20,27
MIN,MIN @ HOU,04/17/2001,L,240,87,32,84,38.1,3,12,25.0,20,24,83.3,11,26,37,23,12,1,14,24,-27
NJN,NJN vs. CHI,04/17/2001,L,240,94,40,85,47.1,4,14,28.6,10,15,66.7,9,26,35,26,5,5,9,25,-6
CHI,CHI @ NJN,04/17/2001,W,240,100,33,69,47.8,9,17,52.9,25,30,83.3,11,34,45,22,4,8,19,19,6
PHI,PHI @ IND,04/17/2001,W,265,111,41,94,43.6,6,11,54.5,23,28,82.1,12,34,46,26,9,3,14,32,6
IND,IND vs. PHI,04/17/2001,L,265,105,35,88,39.8,4,10,40.0,31,42,73.8,17,36,53,23,7,7,18,24,-6
DAL,DAL @ GSW,04/16/2001,W,240,110,36,69,52.2,7,11,63.6,31,39,79.5,8,30,38,25,5,10,21,34,9
GSW,GSW vs. DAL,04/16/2001,L,240,101,35,84,41.7,1,6,16.7,30,42,71.4,15,24,39,20,11,5,14,29,-9
PHX,PHX @ LAC,04/16/2001,L,240,80,34,88,38.6,2,14,14.3,10,14,71.4,13,28,41,20,10,5,11,18,-20
LAC,LAC vs. PHX,04/16/2001,W,240,100,43,84,51.2,5,11,45.5,9,14,64.3,12,36,48,26,4,8,17,13,20
CHH,CHH vs. ATL,04/16/2001,W,240,106,42,84,50.0,3,10,30.0,19,30,63.3,14,39,53,34,12,13,16,16,23
ATL,ATL @ CHH,04/16/2001,L,240,83,34,85,40.0,4,12,33.3,11,16,68.8,11,26,37,22,10,2,19,21,-23
NYK,NYK @ CLE,04/16/2001,L,240,78,33,79,41.8,4,15,26.7,8,16,50.0,13,25,38,19,8,5,15,22,-2
CLE,CLE vs. NYK,04/16/2001,W,240,80,32,76,42.1,1,8,12.5,15,18,83.3,14,33,47,19,8,8,19,19,2
ORL,ORL vs. MIL,04/16/2001,L,240,89,31,76,40.8,5,19,26.3,22,31,71.0,11,29,40,15,10,7,19,26,-12
MIL,MIL @ ORL,04/16/2001,W,240,101,38,87,43.7,5,14,35.7,20,25,80.0,17,33,50,24,9,5,15,24,12
VAN,VAN @ SAC,04/16/2001,L,240,100,37,84,44.0,7,16,43.8,19,27,70.4,9,31,40,23,9,4,16,21,-10
SAC,SAC vs. VAN,04/16/2001,W,240,110,42,91,46.2,6,17,35.3,20,24,83.3,15,34,49,29,11,1,15,21,10
CLE,CLE @ WAS,04/15/2001,W,240,106,42,83,50.6,2,5,40.0,20,31,64.5,18,26,44,21,6,9,19,23,8
WAS,WAS vs. CLE,04/15/2001,L,240,98,36,77,46.8,0,6,0.0,26,29,89.7,10,26,36,20,9,4,17,22,-8
